Unnamed: 0,Episode Title,Date,Date.1,Time,Length,⇩ Rating,Share,AI,Chart
268,The Time Warrior: Part One,Sat,15 Dec 1973,5:10pm,00:24:15,8.70m,,59.0,34
269,Nightmare of Eden: Part One,Sat,24 Nov 1979,6:01pm,00:24:17,8.70m,,,41
270,Dalek,Sat,30 Apr 2005,6:59pm,00:45:20,8.63m,44.9%,84.0,14
271,New Earth,Sat,15 Apr 2006,7:16pm,00:44:05,8.62m,40.2%,85.0,9
272,Last of the Time Lords,Sat,30 Jun 2007,7:05pm,00:51:25,8.61m,40.6%,88.0,10
273,The Wheel In Space: Episode 4,Sat,18 May 1968,6:00pm,00:24:14,8.60m,,56.0,28
274,The Stones of Blood: Part One,Sat,28 Oct 1978,6:24pm,00:24:20,8.60m,,,38
275,The Daleks' Master Plan: The Destruction of Time,Sat,29 Jan 1966,5:50pm,00:23:31,8.60m,,57.0,39
276,The Invisible Enemy: Part One,Sat,1 Oct 1977,6:20pm,00:23:09,8.60m,,,40
277,The Armageddon Factor: Part Four,Sat,10 Feb 1979,6:27pm,00:25:09,8.60m,,,60
278,The Armageddon Factor: Part Five,Sat,17 Feb 1979,6:26pm,00:24:42,8.60m,,,66
279,Castrovalva: Part Two,Tue,5 Jan 1982,7:02pm,00:24:13,8.60m,,,84
280,The Time of Angels,Sat,24 Apr 2010,6:23pm,00:40:55,8.59m,41.2%,87.0,8
281,Flesh and Stone,Sat,1 May 2010,6:27pm,00:41:40,8.50m,38.2%,86.0,11
282,The Space Museum: The Search,Sat,8 May 1965,6:00pm,00:23:33,8.50m,,56.0,22
283,Planet of the Daleks: Episode Six,Sat,12 May 1973,5:50pm,00:23:06,8.50m,,,24
284,The Space Museum: The Final Phase,Sat,15 May 1965,5:40pm,00:22:15,8.50m,,49.0,27
285,Colony In Space: Episode Two,Sat,17 Apr 1971,6:12pm,00:22:43,8.50m,,,28
286,The Crusade: The Knight of Jaffa,Sat,3 Apr 1965,5:42pm,00:23:28,8.50m,,50.0,29
287,Genesis of the Daleks: Part Three,Sat,22 Mar 1975,5:30pm,00:22:38,8.50m,,,42
288,The Macra Terror: Episode 3,Sat,25 Mar 1967,5:51pm,00:23:24,8.50m,,52.0,45
289,The Androids of Tara: Part One,Sat,25 Nov 1978,6:22pm,00:24:53,8.50m,,,45
290,The Sea Devils: Episode Six,Sat,1 Apr 1972,5:51pm,00:25:24,8.50m,,,47
291,The Sun Makers: Part One,Sat,26 Nov 1977,6:07pm,00:24:59,8.50m,,,48
292,Time-Flight: Part Two,Tue,23 Mar 1982,7:05pm,00:23:58,8.50m,,,48
293,Kinda: Part Three,Mon,8 Feb 1982,6:56pm,00:24:17,8.50m,,,67
294,The Bells of Saint John,Sat,30 Mar 2013,6:14pm,00:45:24,8.44m,35.8%,87.0,8
295,A Town Called Mercy,Sat,15 Sep 2012,7:36pm,00:44:10,8.42m,33.4%,85.0,9
296,The Beast Below,Sat,10 Apr 2010,6:20pm,00:41:25,8.42m,38.9%,86.0,10
297,Rosa,Sun,21 Oct 2018,6:55pm,00:49:38,8.41m,33.6%,83.0,4
298,The Unicorn and the Wasp,Sat,17 May 2008,6:58pm,00:44:40,8.41m,37.8%,86.0,7
299,Gridlock,Sat,14 Apr 2007,7:40pm,00:44:58,8.40m,40.4%,85.0,7
300,Carnival Of Monsters: Episode Four,Sat,17 Feb 1973,5:51pm,00:24:10,8.40m,,,27
301,The Curse of Peladon: Episode Four,Sat,19 Feb 1972,5:50pm,00:24:16,8.40m,,,27
302,Terror of the Zygons: Part One,Sat,30 Aug 1975,5:46pm,00:21:41,8.40m,,59.0,29
303,Planet of Giants,Sat,31 Oct 1964,5:13pm,00:23:15,8.40m,,57.0,37
304,The Macra Terror: Episode 4,Sat,1 Apr 1967,5:50pm,00:24:41,8.40m,,49.0,39
305,The Sun Makers: Part Four,Sat,17 Dec 1977,6:08pm,00:24:57,8.40m,,59.0,42
306,Planet of Giants: Dangerous Journey,Sat,7 Nov 1964,5:15pm,00:23:40,8.40m,,58.0,45
307,The Pirate Planet: Part Four,Sat,21 Oct 1978,6:22pm,00:25:16,8.40m,,64.0,46
308,Marco Polo: Mighty Kublai Khan,Sat,28 Mar 1964,5:29pm,00:25:36,8.40m,,59.0,49
309,The Web of Fear: Episode 4,Sat,24 Feb 1968,5:24pm,00:24:50,8.40m,,53.0,52
310,Spearhead From Space: Episode 1,Sat,3 Jan 1970,5:15pm,00:23:38,8.40m,,54.0,54
311,The Krotons: Episode Two,Sat,4 Jan 1969,5:15pm,00:23:03,8.40m,,57.0,54
312,Terror of the Autons: Episode Four,Sat,23 Jan 1971,5:16pm,00:22:10,8.40m,,,59
313,Four To Doomsday: Part One,Mon,18 Jan 1982,6:56pm,00:23:36,8.40m,,,66
314,Kinda: Part One,Mon,1 Feb 1982,6:57pm,00:24:50,8.40m,,,78
315,Asylum of the Daleks,Sat,1 Sep 2012,7:21pm,00:48:50,8.33m,34.4%,89.0,6
316,School Reunion,Sat,29 Apr 2006,7:23pm,00:44:10,8.31m,41.6%,85.0,12
317,The Green Death: Episode Five,Sat,16 Jun 1973,5:52pm,00:25:20,8.30m,,,15
318,The Dæmons: Episode Five,Sat,19 Jun 1971,6:10pm,00:24:04,8.30m,,,17
319,The Time Meddler: Checkmate,Sat,24 Jul 1965,5:40pm,00:24:00,8.30m,,54.0,24
320,Revenge of the Cybermen: Part Two,Sat,26 Apr 1975,5:30pm,00:24:24,8.30m,,,28
321,Planet of the Daleks: Episode Four,Sat,28 Apr 1973,5:51pm,00:23:36,8.30m,,,29
322,The Myth Makers: Temple of Secrets,Sat,16 Oct 1965,5:50pm,00:24:45,8.30m,,48.0,34
323,The Web of Fear: Episode 6,Sat,9 Mar 1968,5:24pm,00:24:41,8.30m,,55.0,36
324,Mission to the Unknown,Sat,9 Oct 1965,5:50pm,00:24:42,8.30m,,54.0,37
325,The Myth Makers: Horse of Destruction,Sat,6 Nov 1965,5:50pm,00:24:25,8.30m,,52.0,38
326,The Sea Devils: Episode Five,Sat,25 Mar 1972,5:45pm,00:24:53,8.30m,,,39
327,The Masque of Mandragora: Part One,Sat,4 Sep 1976,6:12pm,00:24:31,8.30m,,58.0,40
328,The Ribos Operation: Part One,Sat,2 Sep 1978,5:44pm,00:25:02,8.30m,,59.0,42
329,The Underwater Menace: Episode 1,Sat,14 Jan 1967,5:49pm,00:24:18,8.30m,,48.0,43
330,The Sea Devils: Episode Three,Sat,11 Mar 1972,5:49pm,00:24:05,8.30m,,,45
331,Spearhead From Space: Episode 3,Sat,17 Jan 1970,5:15pm,00:24:16,8.30m,,,49
332,The Invisible Enemy: Part Four,Sat,22 Oct 1977,6:12pm,00:21:22,8.30m,,60.0,50
333,The Enemy of the World: Episode 6,Sat,27 Jan 1968,5:26pm,00:21:41,8.30m,,52.0,55
334,Warriors' Gate: Part Three,Sat,17 Jan 1981,5:11pm,00:22:15,8.30m,,,59
335,Last Christmas,Thu,25 Dec 2014,6:14pm,01:00:15,8.28m,31.6%,82.0,7
336,Doomsday,Sat,8 Jul 2006,6:59pm,00:46:25,8.22m,44.5%,89.0,8
337,Arachnids In The UK,Sun,28 Oct 2018,7:00pm,00:49:22,8.22m,32.9%,83.0,4
338,Planet of the Spiders: Part Four,Sat,25 May 1974,5:31pm,00:23:53,8.20m,,,24
339,Terror of the Zygons: Part Three,Sat,13 Sep 1975,5:46pm,00:24:09,8.20m,,54.0,32
340,The Ribos Operation: Part Four,Sat,23 Sep 1978,6:21pm,00:24:50,8.20m,,67.0,36
341,The Pirate Planet: Part Three,Sat,14 Oct 1978,6:21pm,00:25:47,8.20m,,64.0,44
342,Doctor Who And The Silurians: Episode 4,Sat,21 Feb 1970,5:15pm,00:25:00,8.20m,,60.0,46
343,Fury From the Deep: Episode 1,Sat,16 Mar 1968,5:14pm,00:24:54,8.20m,,55.0,46
344,The Moonbase: Episode 3,Sat,25 Feb 1967,5:50pm,00:26:11,8.20m,,53.0,49
345,Army of Ghosts,Sat,1 Jul 2006,7:01pm,00:43:20,8.19m,45.1%,86.0,7
346,Let's Kill Hitler,Sat,27 Aug 2011,7:09pm,00:48:08,8.10m,33.3%,85.0,11
347,The Dæmons: Episode Four,Sat,12 Jun 1971,6:11pm,00:24:25,8.10m,,,24
348,Colony In Space: Episode Four,Sat,1 May 1971,6:12pm,00:24:20,8.10m,,,28
349,The Monster of Peladon: Part Six,Sat,27 Apr 1974,5:31pm,00:23:48,8.10m,,,30
350,The Dæmons: Episode Three,Sat,5 Jun 1971,6:11pm,00:24:27,8.10m,,,34
351,The Time Monster: Episode Three,Sat,3 Jun 1972,5:51pm,00:23:59,8.10m,,,36
352,The Ribos Operation: Part Two,Sat,9 Sep 1978,6:21pm,00:24:46,8.10m,,,36
353,The Evil of the Daleks: Episode 1,Sat,20 May 1967,6:00pm,00:24:07,8.10m,,51.0,37
354,"The Myth Makers: Small Prophet, Quick Return",Sat,23 Oct 1965,5:49pm,00:24:43,8.10m,,51.0,40
355,The Moonbase: Episode 4,Sat,4 Mar 1967,5:51pm,00:23:28,8.10m,,58.0,44
356,Death to the Daleks: Part One,Sat,23 Feb 1974,5:29pm,00:24:32,8.10m,,61.0,49
357,Spearhead From Space: Episode 4,Sat,24 Jan 1970,5:14pm,00:24:47,8.10m,,57.0,51
358,The Moonbase: Episode 1,Sat,11 Feb 1967,5:50pm,00:24:12,8.10m,,50.0,56
359,Spearhead From Space: Episode 2,Sat,10 Jan 1970,5:15pm,00:24:21,8.10m,,,57
360,Terror of the Autons: Episode Three,Sat,16 Jan 1971,5:15pm,00:23:28,8.10m,,,58
361,Time-Flight: Part Four,Tue,30 Mar 1982,6:51pm,00:24:30,8.10m,,,64
362,Turn Left,Sat,21 Jun 2008,6:38pm,00:49:25,8.09m,38.1%,88.0,4
363,Father's Day,Sat,14 May 2005,7:01pm,00:42:50,8.06m,44.4%,83.0,17
364,Midnight,Sat,14 Jun 2008,7:10pm,00:43:50,8.05m,39.8%,86.0,5
365,The Long Game,Sat,7 May 2005,7:00pm,00:44:25,8.01m,40.4%,81.0,17
366,The Dæmons: Episode Two,Sat,29 May 1971,6:10pm,00:24:20,8.00m,,,23
367,The Faceless Ones: Episode 6,Sat,13 May 1967,5:50pm,00:23:38,8.00m,,52.0,33
368,The Macra Terror: Episode 1,Sat,11 Mar 1967,5:51pm,00:22:58,8.00m,,50.0,37
369,The Claws of Axos: Episode Two,Sat,20 Mar 1971,5:15pm,00:24:00,8.00m,,,43
370,The Ice Warriors: Five,Sat,9 Dec 1967,5:24pm,00:24:25,8.00m,,50.0,44
371,The Celestial Toymaker: The Celestial Toyroom,Sat,2 Apr 1966,5:50pm,00:24:40,8.00m,,48.0,44
372,The Massacre: War of God,Sat,5 Feb 1966,5:15pm,00:24:51,8.00m,,52.0,45
373,The Faceless Ones: Episode 1,Sat,8 Apr 1967,5:50pm,00:23:47,8.00m,,51.0,47
374,The Web of Fear: Episode 5,Sat,2 Mar 1968,5:24pm,00:24:19,8.00m,,55.0,48
375,The Power of the Daleks: Episode Five,Sat,3 Dec 1966,5:51pm,00:23:38,8.00m,,48.0,48
376,The Celestial Toymaker: The Hall of Dolls,Sat,9 Apr 1966,5:50pm,00:24:45,8.00m,,49.0,49
377,Resurrection of the Daleks: Part Two,Wed,15 Feb 1984,6:52pm,00:46:52,8.00m,,65.0,53
378,Frontios: Part One,Thu,26 Jan 1984,6:41pm,00:24:39,8.00m,,66.0,58
379,The Ambassadors of Death: Episode 3,Sat,4 Apr 1970,5:21pm,00:24:38,8.00m,,59.0,60
380,Terror of the Autons: Episode Two,Sat,9 Jan 1971,5:14pm,00:24:48,8.00m,,,71
381,World War Three,Sat,23 Apr 2005,7:01pm,00:40:40,7.98m,40.2%,81.0,20
382,The End Of The World,Sat,2 Apr 2005,6:59pm,00:44:45,7.97m,37.8%,76.0,19
383,The Doctor's Wife,Sat,14 May 2011,6:30pm,00:45:51,7.97m,34.7%,87.0,22
384,Twice Upon A Time,Mon,25 Dec 2017,5:28pm,00:59:50,7.92m,34.0%,81.0,9
385,The Girl in the Fireplace,Sat,6 May 2006,6:59pm,00:44:40,7.90m,38.1%,84.0,13
386,The Sensorites: Strangers in Space,Sat,20 Jun 1964,5:14pm,00:24:46,7.90m,,59.0,17
387,The Aztecs: The Bride of Sacrifice,Sat,6 Jun 1964,5:14pm,00:25:27,7.90m,,57.0,19
388,The Keys of Marinus: Sentence of Death,Sat,9 May 1964,5:14pm,00:25:03,7.90m,,61.0,29
389,The Mutants: Episode Three,Sat,22 Apr 1972,5:50pm,00:24:32,7.90m,,,36
390,The Ribos Operation: Part Three,Sat,16 Sep 1978,6:31pm,00:24:42,7.90m,,,38
391,Fury From the Deep: Episode 2,Sat,23 Mar 1968,5:15pm,00:23:08,7.90m,,55.0,40
392,The Macra Terror: Episode 2,Sat,18 Mar 1967,5:51pm,00:23:21,7.90m,,48.0,42
393,The Faceless Ones: Episode 3,Sat,22 Apr 1967,5:50pm,00:23:10,7.90m,,53.0,43
394,The Mutants: Episode Five,Sat,6 May 1972,5:51pm,00:24:37,7.90m,,,44
395,The Power of the Daleks: Episode One,Sat,5 Nov 1966,5:49pm,00:25:43,7.90m,,43.0,44
396,The Awakening: Part One,Thu,19 Jan 1984,6:41pm,00:25:18,7.90m,,65.0,61
397,Image of the Fendahl: Part Three,Sat,12 Nov 1977,6:06pm,00:24:22,7.90m,,,63
398,The Daleks' Master Plan: The Feast of Steven,Sat,25 Dec 1965,6:35pm,00:24:36,7.90m,,39.0,71
399,The Curse of the Black Spot,Sat,7 May 2011,6:15pm,00:44:51,7.85m,35.5%,86.0,11
400,Forest of the Dead,Sat,7 Jun 2008,7:00pm,00:45:20,7.84m,42.1%,89.0,10
401,Utopia,Sat,16 Jun 2007,7:15pm,00:45:50,7.84m,38.2%,87.0,14
402,The Return Of Doctor Mysterio,Sun,25 Dec 2016,5:44pm,01:00:25,7.83m,31.2%,82.0,9
403,Victory of the Daleks,Sat,17 Apr 2010,6:29pm,00:41:15,7.82m,37.4%,84.0,11
404,The Angels Take Manhattan,Sat,29 Sep 2012,7:20pm,00:44:15,7.82m,32.0%,88.0,13
405,The Green Death: Episode Three,Sat,2 Jun 1973,5:51pm,00:25:12,7.80m,,,29
406,The Celestial Toymaker: The Final Test,Sat,23 Apr 1966,5:50pm,00:23:57,7.80m,,43.0,36
407,The Power of the Daleks: Episode Six,Sat,10 Dec 1966,5:51pm,00:23:46,7.80m,,47.0,37
408,The Mutants: Episode Two,Sat,15 Apr 1972,5:51pm,00:24:24,7.80m,,,38
409,The Sea Devils: Episode Four,Sat,18 Mar 1972,5:50pm,00:24:21,7.80m,,,40
410,Carnival Of Monsters: Episode Three,Sat,10 Feb 1973,5:51pm,00:24:49,7.80m,,,49
411,The Curse of Peladon: Episode Three,Sat,12 Feb 1972,5:53pm,00:24:21,7.80m,,,49
412,The Claws of Axos: Episode Four,Sat,3 Apr 1971,5:15pm,00:25:16,7.80m,,,49
413,The Power of the Daleks: Episode Four,Sat,26 Nov 1966,5:49pm,00:24:23,7.80m,,47.0,50
414,The Power of the Daleks: Episode Two,Sat,12 Nov 1966,5:49pm,00:24:29,7.80m,,45.0,50
415,Frontier In Space: Episode Two,Sat,3 Mar 1973,5:53pm,00:24:10,7.80m,,,53
416,Frontios: Part Three,Thu,2 Feb 1984,6:40pm,00:24:30,7.80m,,65.0,59
417,The Caves of Androzani: Part Three,Thu,15 Mar 1984,6:42pm,00:24:36,7.80m,,65.0,62
418,The Caves of Androzani: Part Four,Fri,16 Mar 1984,6:41pm,00:25:37,7.80m,,68.0,62
419,The Enemy of the World: Episode 4,Sat,13 Jan 1968,5:25pm,00:23:46,7.80m,,49.0,66
420,Warriors' Gate: Part Four,Sat,24 Jan 1981,5:09pm,00:24:53,7.80m,,59.0,69
421,The Armageddon Factor: Part Three,Sat,3 Feb 1979,6:28pm,00:25:02,7.80m,,,76
422,The Tsuranga Conundrum,Sun,4 Nov 2018,6:59pm,00:50:41,7.76m,33.0%,79.0,6
423,Human Nature,Sat,26 May 2007,7:11pm,00:45:00,7.74m,38.0%,86.0,13
424,The Time Meddler: A Battle of Wits,Sat,17 Jul 1965,5:40pm,00:24:10,7.70m,,53.0,28
425,Fury From the Deep: Episode 3,Sat,30 Mar 1968,5:16pm,00:20:29,7.70m,,56.0,47
426,The Five Doctors,Fri,25 Nov 1983,7:20pm,01:30:23,7.70m,,75.0,54
427,Frontier In Space: Episode Five,Sat,24 Mar 1973,5:52pm,00:23:57,7.70m,,,57
428,Logopolis: Part Two,Sat,7 Mar 1981,5:09pm,00:24:03,7.70m,,61.0,57
429,Revelation of the Daleks: Part Two,Sat,30 Mar 1985,5:22pm,00:45:27,7.70m,,65.0,58
430,The Seeds of Death: Episode Six,Sat,1 Mar 1969,5:14pm,00:44:31,7.70m,,59.0,59
431,Snakedance: Part Two,Wed,19 Jan 1983,6:46pm,00:24:35,7.70m,,66.0,75
432,Mawdryn Undead: Part Four,Wed,9 Feb 1983,6:47pm,00:24:33,7.70m,,68.0,78
433,The Husbands of River Song,Fri,25 Dec 2015,5:17pm,00:56:09,7.69m,33.9%,82.0,8
434,The Vampires of Venice,Sat,8 May 2010,5:59pm,00:47:25,7.68m,34.8%,86.0,12
435,Boom Town,Sat,4 Jun 2005,7:01pm,00:43:15,7.68m,39.0%,82.0,18
436,The Power Of Three,Sat,22 Sep 2012,7:31pm,00:41:15,7.67m,31.8%,87.0,13
437,The Wedding of River Song,Sat,1 Oct 2011,7:05pm,00:45:22,7.67m,32.0%,86.0,16
438,The Age of Steel,Sat,20 May 2006,6:38pm,00:45:50,7.64m,37.8%,86.0,15
439,Aliens of London,Sat,16 Apr 2005,7:00pm,00:45:05,7.63m,35.7%,82.0,18
440,The Girl Who Waited,Sat,10 Sep 2011,7:14pm,00:46:02,7.60m,38.8%,85.0,13
441,Death in Heaven,Sat,8 Nov 2014,8:02pm,00:57:00,7.60m,28.6%,83.0,14
442,The Time Monster: Episode Four,Sat,10 Jun 1972,5:50pm,00:23:55,7.60m,,,28
443,The Time Monster: Episode One,Sat,20 May 1972,5:50pm,00:25:04,7.60m,,,37
444,The Time Monster: Episode Six,Sat,24 Jun 1972,5:46pm,00:24:55,7.60m,,,39
445,Colony In Space: Episode One,Sat,10 Apr 1971,6:11pm,00:24:19,7.60m,,,41
446,The Tenth Planet: Episode 3,Sat,22 Oct 1966,5:54pm,00:23:31,7.60m,,48.0,46
447,Warriors of the Deep: Part One,Thu,5 Jan 1984,6:41pm,00:24:48,7.60m,,65.0,51
448,The Mind of Evil: Episode Five,Sat,27 Feb 1971,5:15pm,00:23:34,7.60m,,,58
449,The Ambassadors of Death: Episode 2,Sat,28 Mar 1970,5:14pm,00:24:39,7.60m,,61.0,59
450,The Seeds of Death: Episode Five,Sat,22 Feb 1969,5:14pm,00:24:56,7.60m,,57.0,65
451,The Stones of Blood: Part Four,Sat,18 Nov 1978,6:23pm,00:23:07,7.60m,,67.0,66
452,The Twin Dilemma: Part One,Thu,22 Mar 1984,6:41pm,00:24:42,7.60m,,61.0,66
453,The Keeper of Traken: Part One,Sat,31 Jan 1981,5:09pm,00:24:05,7.60m,,,72
454,The Enemy of the World: Episode 2,Sat,30 Dec 1967,5:26pm,00:23:48,7.60m,,49.0,75
455,The Pandorica Opens,Sat,19 Jun 2010,6:39pm,00:48:40,7.58m,37.1%,88.0,10
456,Dinosaurs on a Spaceship,Sat,8 Sep 2012,7:36pm,00:45:10,7.57m,31.9%,87.0,9
457,Amy's Choice,Sat,15 May 2010,6:24pm,00:43:25,7.55m,37.4%,84.0,13
458,The Sound of Drums,Sat,23 Jun 2007,7:15pm,00:46:10,7.51m,40.0%,87.0,11
459,A Good Man Goes to War,Sat,4 Jun 2011,6:40pm,00:48:12,7.51m,31.0%,88.0,21
460,Planet of the Ood,Sat,19 Apr 2008,6:19pm,00:43:35,7.50m,35.2%,87.0,12
461,The Dominators: Episode 4,Sat,31 Aug 1968,5:14pm,00:23:54,7.50m,,51.0,33
462,The Evil of the Daleks: Episode 2,Sat,27 May 1967,5:50pm,00:25:13,7.50m,,51.0,37
463,The Wheel In Space: Episode 3,Sat,11 May 1968,5:15pm,00:24:25,7.50m,,55.0,40
464,The Monster of Peladon: Part Five,Sat,20 Apr 1974,5:30pm,00:23:56,7.50m,,,42
465,The Mutants: Episode Four,Sat,29 Apr 1972,5:49pm,00:24:00,7.50m,,,44
466,The Tenth Planet: Episode 4,Sat,29 Oct 1966,5:50pm,00:24:02,7.50m,,47.0,48
467,Doctor Who And The Silurians: Episode 5,Sat,28 Feb 1970,5:16pm,00:23:58,7.50m,,58.0,52
468,The Power of the Daleks: Episode Three,Sat,19 Nov 1966,5:51pm,00:23:31,7.50m,,44.0,52
469,Warriors of the Deep: Part Two,Fri,6 Jan 1984,6:41pm,00:24:04,7.50m,,64.0,52
470,Doctor Who And The Silurians: Episode 7,Sat,14 Mar 1970,5:15pm,00:22:55,7.50m,,58.0,54
471,Invasion of the Dinosaurs: Part Six,Sat,16 Feb 1974,5:29pm,00:25:34,7.50m,,62.0,54
472,Image of the Fendahl: Part Two,Sat,5 Nov 1977,6:10pm,00:24:44,7.50m,,75.0,54
473,Frontier In Space: Episode Three,Sat,10 Mar 1973,5:52pm,00:24:00,7.50m,,,57
474,Doctor Who And The Silurians: Episode 3,Sat,14 Feb 1970,5:15pm,00:23:16,7.50m,,57.0,59
475,The Ice Warriors: Six,Sat,16 Dec 1967,5:24pm,00:23:58,7.50m,,51.0,59
476,The Krotons: Episode Three,Sat,11 Jan 1969,5:16pm,00:21:41,7.50m,,56.0,61
477,The Underwater Menace: Episode 2,Sat,21 Jan 1967,5:51pm,00:25:00,7.50m,,46.0,64
478,The Seeds of Death: Episode Three,Sat,8 Feb 1969,5:15pm,00:24:10,7.50m,,55.0,65
479,The Invisible Enemy: Part Three,Sat,15 Oct 1977,6:13pm,00:23:28,7.50m,,,65
480,The Mind of Evil: Episode Three,Sat,13 Feb 1971,5:15pm,00:24:30,7.50m,,,70
481,Terminus: Part Two,Wed,16 Feb 1983,6:46pm,00:24:40,7.50m,,67.0,75
482,Mawdryn Undead: Part Two,Wed,2 Feb 1983,6:46pm,00:24:33,7.50m,,70.0,83
483,The Armageddon Factor: Part One,Sat,20 Jan 1979,6:25pm,00:24:39,7.50m,,65.0,93
484,Cold Blood,Sat,29 May 2010,7:01pm,00:44:55,7.49m,31.9%,86.0,9
485,Demons Of The Punjab,Sun,11 Nov 2018,7:01pm,00:50:05,7.48m,31.4%,80.0,8
486,Kerblam!,Sun,18 Nov 2018,6:30pm,00:48:50,7.46m,31.8%,81.0,9
487,The Name of the Doctor,Sat,18 May 2013,6:59pm,00:44:20,7.45m,31.7%,88.0,10
488,The Rings of Akhaten,Sat,6 Apr 2013,6:15pm,00:43:44,7.45m,34.8%,84.0,16
489,42,Sat,19 May 2007,7:15pm,00:45:25,7.41m,37.1%,84.0,16
490,The Sensorites: Hidden Danger,Sat,11 Jul 1964,5:15pm,00:24:53,7.40m,,56.0,22
491,The Aztecs: The Temple of Evil,Sat,23 May 1964,5:16pm,00:23:56,7.40m,,62.0,25
492,The Tomb of the Cybermen: Episode 4,Sat,23 Sep 1967,5:50pm,00:23:22,7.40m,,50.0,34
493,The Aztecs: The Day of Darkness,Sat,13 Jun 1964,5:14pm,00:25:30,7.40m,,58.0,34
494,The Aztecs: The Warriors of Death,Sat,30 May 1964,5:16pm,00:24:11,7.40m,,62.0,34
495,The Monster of Peladon: Part Three,Sat,6 Apr 1974,5:30pm,00:24:47,7.40m,,64.0,42
496,The Pirate Planet: Part Two,Sat,7 Oct 1978,6:21pm,00:25:30,7.40m,,,52
497,The Abominable Snowmen: Episode Six,Sat,4 Nov 1967,5:25pm,00:23:51,7.40m,,52.0,56
498,The Time Monster: Episode Two,Sat,27 May 1972,5:51pm,00:25:05,7.40m,,,60
499,The Mind of Evil: Episode Four,Sat,20 Feb 1971,5:15pm,00:24:40,7.40m,,,63
500,The Ice Warriors: Three,Sat,25 Nov 1967,5:25pm,00:23:58,7.40m,,51.0,64
501,Revelation of the Daleks: Part One,Sat,23 Mar 1985,5:21pm,00:44:31,7.40m,,67.0,65
502,Planet of Fire: Part Three,Thu,1 Mar 1984,6:41pm,00:23:57,7.40m,,,67
503,The Highlanders: Episode 3,Sat,31 Dec 1966,5:52pm,00:22:54,7.40m,,46.0,68
504,Planet of Fire: Part One,Thu,23 Feb 1984,6:41pm,00:24:26,7.40m,,,71
505,The Twin Dilemma: Part Two,Fri,23 Mar 1984,6:41pm,00:25:09,7.40m,,66.0,71
506,Snakedance: Part Four,Wed,26 Jan 1983,6:44pm,00:24:29,7.40m,,67.0,74
507,Timelash: Part Two,Sat,16 Mar 1985,5:21pm,00:44:36,7.40m,,64.0,79
508,Terminus: Part Four,Wed,23 Feb 1983,6:46pm,00:24:49,7.40m,,67.0,80
509,Mawdryn Undead: Part Three,Tue,8 Feb 1983,6:49pm,00:24:32,7.40m,,67.0,84
510,Cold War,Sat,13 Apr 2013,6:03pm,00:41:37,7.37m,31.4%,84.0,15
511,The Rebel Flesh,Sat,21 May 2011,6:45pm,00:43:19,7.35m,34.1%,85.0,13
512,Dark Water,Sat,1 Nov 2014,8:15pm,00:46:25,7.34m,27.4%,85.0,15
513,The Doctor's Daughter,Sat,10 May 2008,6:44pm,00:45:10,7.33m,40.1%,88.0,10
514,Day of the Moon,Sat,30 Apr 2011,6:00pm,00:46:14,7.30m,36.7%,87.0,15
515,The Mind Robber: Episode 4,Sat,5 Oct 1968,5:19pm,00:19:14,7.30m,,56.0,44
516,The Invasion: Episode One,Sat,2 Nov 1968,5:15pm,00:24:32,7.30m,,55.0,55
517,The Invisible Enemy: Part Two,Sat,8 Oct 1977,6:04pm,00:25:13,7.30m,,,55
518,The Claws of Axos: Episode One,Sat,13 Mar 1971,5:15pm,00:23:51,7.30m,,,57
519,The Ice Warriors: Four,Sat,2 Dec 1967,5:25pm,00:24:23,7.30m,,51.0,63
520,The Mind of Evil: Episode Six,Sat,6 Mar 1971,5:15pm,00:24:48,7.30m,,,65
521,The Highlanders: Episode 4,Sat,7 Jan 1967,5:50pm,00:24:19,7.30m,,47.0,66
522,Arc of Infinity: Part Two,Wed,5 Jan 1983,6:46pm,00:24:42,7.30m,,70.0,66
523,The Twin Dilemma: Part Four,Fri,30 Mar 1984,6:43pm,00:25:04,7.30m,,67.0,67
524,Doctor Who And The Silurians: Episode 2,Sat,7 Feb 1970,5:16pm,00:23:08,7.30m,,58.0,68
525,Enlightenment: Part Four,Wed,9 Mar 1983,6:46pm,00:24:34,7.30m,,70.0,68
526,The Ark: The Bomb,Sat,26 Mar 1966,5:15pm,00:24:37,7.30m,,50.0,71
527,Resurrection of the Daleks: Part One,Wed,8 Feb 1984,6:49pm,00:46:24,7.30m,,69.0,73
528,Warriors of the Deep: Part Three,Thu,12 Jan 1984,6:41pm,00:24:02,7.30m,,62.0,74
529,Terror of the Autons: Episode One,Sat,2 Jan 1971,5:15pm,00:24:36,7.30m,,,78
530,The Mark of the Rani: Part Two,Sat,9 Feb 1985,5:21pm,00:44:32,7.30m,,64.0,84
531,Into the Dalek,Sat,30 Aug 2014,7:30pm,00:45:00,7.29m,30.4%,84.0,9
532,Robot Of Sherwood,Sat,6 Sep 2014,7:31pm,00:46:16,7.28m,31.1%,82.0,10
533,The Shakespeare Code,Sat,7 Apr 2007,6:59pm,00:45:35,7.23m,36.9%,87.0,14
534,The Witchfinders,Sun,25 Nov 2018,6:30pm,00:46:31,7.21m,31.5%,81.0,17
535,The Family of Blood,Sat,2 Jun 2007,7:12pm,00:42:55,7.21m,40.9%,86.0,13
