title,year,budget,gross,country,imdb_score,facebook_likes
Kung Fu Panda 3,2016,145000000,143523463,USA,7.2,24000
Chicago,2002,45000000,170684505,USA,7.2,0
Censored Voices,2015,450000,34151,Israel,7.2,111
Vicky Cristina Barcelona,2008,15500000,23213577,Spain,7.2,14000
Troy,2004,175000000,133228348,USA,7.2,0
Out of Africa,1985,31000000,87100000,USA,7.2,0
Tarnation,2003,218,592014,USA,7.2,754
Pitch Perfect,2012,17000000,64998368,USA,7.2,36000
Remember Me,2010,16000000,19057024,USA,7.2,24000
Highlander,1986,16000000,5900000,UK,7.2,0
About Schmidt,2002,30000000,65010106,USA,7.2,0
Things We Lost in the Fire,2007,16000000,2849142,USA,7.2,0
Men of Honor,2000,32000000,48814909,USA,7.2,0
Forgetting Sarah Marshall,2008,30000000,62877175,USA,7.2,0
Ip Man 3,2015,36000000,2126511,Hong Kong,7.2,12000
Scream,1996,15000000,103001286,USA,7.2,11000
The Sessions,2012,1000000,5997134,USA,7.2,11000
Team America: World Police,2004,30000000,32774834,USA,7.2,0
Silverado,1985,26000000,33200000,USA,7.2,0
Amistad,1997,36000000,44175394,USA,7.2,0
Furious 7,2015,190000000,350034110,USA,7.2,94000
The Full Monty,1997,3500000,45857453,UK,7.2,0
Gremlins,1984,11000000,148170000,USA,7.2,14000
True Lies,1994,115000000,146282411,USA,7.2,0
Frozen River,2008,1000000,2508841,USA,7.2,0
Brave,2012,185000000,237282182,USA,7.2,39000
Major League,1989,11000000,49797148,USA,7.2,0
Unbroken,2014,65000000,115603980,USA,7.2,35000
Bridge to Terabithia,2007,17000000,82234139,USA,7.2,6000
The Intern,2015,35000000,75274748,USA,7.2,54000
Anchorman: The Legend of Ron Burgundy,2004,26000000,84136909,USA,7.2,0
Iron Man 3,2013,200000000,408992272,USA,7.2,95000
Brother,2000,10000000,447750,USA,7.2,0
The Doors,1991,38000000,35183792,USA,7.2,0
Seven Psychopaths,2012,15000000,14989761,UK,7.2,52000
Speed,1994,25000000,121248145,USA,7.2,0
Raising Victor Vargas,2002,800000,2073984,France,7.2,219
10 Things I Hate About You,1999,16000000,38176108,USA,7.2,10000
The Mist,2007,18000000,25592632,USA,7.2,20000
Ruby in Paradise,1993,800000,1001437,USA,7.2,81
Latter Days,2003,850000,819939,USA,7.2,0
Chasing Mavericks,2012,20000000,6002756,USA,7.2,13000
Star Trek VI: The Undiscovered Country,1991,30000000,74888996,USA,7.2,0
Pay It Forward,2000,40000000,33508922,USA,7.2,16000
Live Free or Die Hard,2007,110000000,134520804,USA,7.2,0
Everybody's Fine,2009,21000000,8855646,USA,7.2,10000
Let Me In,2010,20000000,12134420,UK,7.2,25000
Brigham City,2001,1000000,798341,USA,7.2,100
Shakespeare in Love,1998,25000000,100241322,USA,7.2,0
Kingdom of Heaven,2005,130000000,47396698,USA,7.2,0
The Age of Innocence,1993,30000000,32000000,USA,7.2,0
Slam,1998,1000000,982214,USA,7.2,603
Narc,2002,7500000,10460089,USA,7.2,1000
The Equalizer,2014,55000000,101530738,USA,7.2,56000
Shrek 2,2004,150000000,436471036,USA,7.2,0
Lilo & Stitch,2002,80000000,145771527,USA,7.2,0
Grease,1978,6000000,181360000,USA,7.2,13000
Le Havre,2011,3850000,611709,Finland,7.2,0
Brotherly Love,2015,1900000,444044,USA,7.2,1000
Love's Abiding Joy,2006,3000000,252726,USA,7.2,76
Mallrats,1995,6000000,2122561,USA,7.2,0
Agora,2009,70000000,617840,Spain,7.2,29000
Caramel,2007,1300000,1060591,France,7.2,0
Dave Chappelle's Block Party,2005,3000000,11694528,USA,7.2,635
Paa,2009,150000000,199228,India,7.2,504
Exotica,1994,2000000,5132222,Canada,7.2,619
Mi America,2015,2100000,3330,USA,7.2,305
War Horse,2011,66000000,79883359,USA,7.2,28000
Trees Lounge,1996,1300000,695229,USA,7.2,872
Desperado,1995,7000000,25625110,USA,7.2,0
It's Kind of a Funny Story,2010,8000000,6350058,USA,7.2,20000
Paddington,2014,55000000,76137505,UK,7.2,30000
Timecrimes,2007,2600000,38108,Spain,7.2,0
Shattered Glass,2003,6000000,2207975,USA,7.2,0
Unbreakable,2000,75000000,94999143,USA,7.2,0
Smoke Signals,1998,2000000,6719300,Canada,7.2,0
The Names of Love,2010,4600000,513836,France,7.2,0
Chariots of Fire,1981,5500000,58800000,UK,7.2,0
Winter's Bone,2010,2000000,6531491,USA,7.2,20000
Harry Brown,2009,7300000,1818681,UK,7.2,0
The Virgin Suicides,1999,6000000,4859475,USA,7.2,0
Cars,2006,120000000,244052771,USA,7.2,0
Tango,1998,700000000,1687311,Spain,7.2,539
The Believer,2001,1500000,406035,USA,7.2,0
Escape from New York,1981,6000000,25244700,UK,7.2,0
The Full Monty,1997,3500000,45857453,UK,7.2,0
GoldenEye,1995,58000000,106635996,UK,7.2,0
Made in Dagenham,2010,7200000,1094798,UK,7.2,0
The Messenger,2009,6500000,66637,USA,7.2,0
The Descent,2005,3500000,26005908,UK,7.2,10000
The Karate Kid,1984,8000000,90800000,USA,7.2,0
Mother and Child,2009,4825000,1110286,USA,7.2,0
Red Dragon,2002,78000000,92930005,Germany,7.2,0
The Apostle,1997,5000000,20733485,USA,7.2,1000
Shooter,2007,61000000,46975183,USA,7.2,0
Mississippi Mermaid,1969,1600000,26893,France,7.2,278
Unbroken,2014,65000000,115603980,USA,7.2,35000
Cold Mountain,2003,79000000,95632614,USA,7.2,0
Beginners,2010,3200000,5776314,USA,7.2,15000
Of Gods and Men,2010,4000000,3950029,France,7.2,0
"Sex, Lies, and Videotape",1989,1200000,24741700,USA,7.2,2000
Diner,1982,5000000,14100000,USA,7.2,0
Dredd,2012,35000000,13401683,UK,7.1,46000
About a Boy,2002,30000000,40566655,UK,7.1,0
To Save a Life,2009,1000000,3773863,USA,7.1,0
Real Steel,2011,110000000,85463309,USA,7.1,36000
The Kingdom,2007,70000000,47456450,USA,7.1,0
The Patriot,2000,110000000,113330342,USA,7.1,4000
Nerve,2016,20000000,28876924,USA,7.1,0
The Spy Who Loved Me,1977,14000000,46800000,UK,7.1,0
"I Love You, Man",2009,40000000,71347010,USA,7.1,0
Brothers,2009,26000000,28501651,USA,7.1,10000
WarGames,1983,12000000,79568000,USA,7.1,0
Enchanted,2007,85000000,127706877,USA,7.1,0
Hard Candy,2005,950000,1007962,USA,7.1,12000
Payback,1999,50000000,81517441,USA,7.1,0
Dressed to Kill,1980,6500000,31899000,USA,7.1,0
Secretary,2002,4000000,4046737,USA,7.1,15000
The Words,2012,6000000,11434867,USA,7.1,21000
Anastasia,1997,50000000,58297830,USA,7.1,0
Four Weddings and a Funeral,1994,4500000,52700832,UK,7.1,0
Hesher,2010,7000000,382946,USA,7.1,19000
A Scanner Darkly,2006,8700000,5480996,USA,7.1,0
Two Brothers,2004,59660000,18947630,France,7.1,2000
The Ides of March,2011,12500000,40962534,USA,7.1,22000
8: The Mormon Proposition,2010,2500000,99851,USA,7.1,0
Everest,2015,55000000,43247140,UK,7.1,40000
The Passion of the Christ,2004,30000000,499263,USA,7.1,13000
The Merchant of Venice,2004,18000000,3752725,USA,7.1,0
Bad Santa,2003,18000000,60057639,USA,7.1,10000
The Time Traveler's Wife,2009,39000000,63411478,USA,7.1,13000
Robot & Frank,2012,2500000,3325638,USA,7.1,13000
Pirates of the Caribbean: At World's End,2007,300000000,309404152,USA,7.1,0
Kinsey,2004,11000000,10214647,USA,7.1,0
We Are Marshall,2006,65000000,43532294,USA,7.1,0
Phone Booth,2002,13000000,46563158,USA,7.1,0
Super 8,2011,50000000,126975169,USA,7.1,37000
22 Jump Street,2014,50000000,191616238,USA,7.1,24000
Monster's Ball,2001,4000000,31252964,USA,7.1,0
The 40-Year-Old Virgin,2005,26000000,109243478,USA,7.1,0
Flags of Our Fathers,2006,90000000,33574332,USA,7.1,0
The Dangerous Lives of Altar Boys,2002,12000000,1779284,USA,7.1,677
Hotel Transylvania,2012,85000000,148313048,USA,7.1,28000
Body of Lies,2008,70000000,39380442,USA,7.1,0
Ravenous,1999,12000000,2060953,Czech Republic,7.1,0
Get Low,2009,7500000,9176553,USA,7.1,0
Two Lovers,2008,12000000,3148482,USA,7.1,0
Winter in Wartime,2008,4000000,542860,Netherlands,7.1,0
The Quiet American,2002,30000000,12987647,UK,7.1,983
The Princess and the Frog,2009,105000000,104374107,USA,7.1,5000
Marilyn Hotchkiss' Ballroom Dancing and Charm School,1990,34000,333658,USA,7.1,16
The Kids Are All Right,2010,3500000,20803237,USA,7.1,16000
The Master,2012,32000000,16377274,USA,7.1,27000
Mrs Henderson Presents,2005,20000000,11034436,UK,7.1,0
"I, Robot",2004,120000000,144795350,USA,7.1,0
Brothers,2009,26000000,28501651,USA,7.1,10000
Fateless,2005,2500000000,195888,Hungary,7.1,607
Pitch Black,2000,23000000,39235088,USA,7.1,5000
Top Spin,2014,150000,5858,USA,7.1,116
Thirteen Conversations About One Thing,2001,4500000,3287435,USA,7.1,430
The Children of Huang Shi,2008,40000000,1027749,Australia,7.1,1000
The Jacket,2005,29000000,6301131,USA,7.1,0
The Spectacular Now,2013,2500000,6851969,USA,7.1,10000
Side Effects,2013,30000000,32154410,USA,7.1,29000
The Devil's Double,2011,15000000,1357042,Belgium,7.1,14000
Meet Joe Black,1998,90000000,44606335,USA,7.1,10000
Chronicle,2012,12000000,64572496,USA,7.1,32000
The Rainmaker,1997,40000000,45856732,USA,7.1,0
Little White Lies,2010,25000000,183662,France,7.1,0
The Adjustment Bureau,2011,50200000,62453315,USA,7.1,36000
Infamous,2006,13000000,1150403,USA,7.1,0
Waitress,2007,2000000,19067631,USA,7.1,0
Arthur Christmas,2011,100000000,46440491,UK,7.1,0
Find Me Guilty,2006,13000000,1172769,Germany,7.1,0
Jason Bourne,2016,120000000,108521835,UK,7.1,31000
Transformers,2007,150000000,318759914,USA,7.1,8000
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,2012,500000,151389,USA,7.1,590
Concussion,2015,35000000,34531832,UK,7.1,23000
The Limey,1999,9000000,3193102,USA,7.1,944
Slacker,1991,23000,1227508,USA,7.1,2000
School of Rock,2003,35000000,81257845,USA,7.1,0
The Young and Prodigious T.S. Spivet,2013,33000000,99462,France,7.1,5000
Alive,1993,32000000,36733909,USA,7.1,0
Margin Call,2011,3500000,5354039,USA,7.1,21000
Lords of Dogtown,2005,25000000,11008432,USA,7.1,5000
Holes,2003,20000000,67325559,USA,7.1,0
Charlie Wilson's War,2007,75000000,66636385,USA,7.1,0
The House of Mirth,2000,10000000,3041803,UK,7.1,345
The Protector,2005,200000000,11905519,Thailand,7.1,0
8 Women,2002,8000000,3076425,France,7.1,0
Michael Collins,1996,28000000,11030963,UK,7.1,0
Danny Collins,2015,10000000,5348317,USA,7.1,0
Thor: The Dark World,2013,170000000,206360018,USA,7.1,63000
Blue Ruin,2013,1066167,258113,USA,7.1,0
Dredd,2012,35000000,13401683,UK,7.1,46000
Ulee's Gold,1997,2700000,9054736,USA,7.1,381
Nixon,1995,50000000,13560960,USA,7.1,915
Enough Said,2013,8000000,17536788,USA,7.1,12000
Easy A,2010,8000000,58401464,USA,7.1,19000
The Gift,2015,5000000,43771291,USA,7.1,15000
Jackass 3D,2010,20000000,117224271,USA,7.1,0
Quinceañera,2006,400000,1689999,USA,7.1,426
Blade,1998,45000000,70001065,USA,7.1,0
Three Kings,1999,48000000,60652036,USA,7.1,3000
Super Troopers,2001,1200000,18488314,USA,7.1,0
Becoming Jane,2007,16500000,18663911,UK,7.1,0
Wendy and Lucy,2008,200000,856942,USA,7.1,0
Harold & Kumar Go to White Castle,2004,9000000,18225165,USA,7.1,0
Die Hard 2,1990,70000000,117541000,USA,7.1,0
We Were Soldiers,2002,75000000,78120196,USA,7.1,5000
Pieces of April,2003,300000,2360184,USA,7.1,0
Human Traffic,1999,2200000,104257,UK,7.1,0
Away We Go,2009,17000000,9430988,USA,7.1,7000
RED,2010,58000000,90356857,USA,7.1,32000
Tinker Tailor Soldier Spy,2011,20000000,24104113,France,7.1,24000
Melancholia,2011,7400000,3029870,Denmark,7.1,50000
My Own Private Idaho,1991,2500000,6401336,USA,7.1,0
Jarhead,2005,70000000,62647540,Germany,7.1,0
River's Edge,1986,1900000,4600000,USA,7.1,0
Limbo,1999,8000000,1997807,USA,7.1,196
P.S. I Love You,2007,30000000,53680848,USA,7.1,20000
The Muppets,2011,45000000,88625922,USA,7.1,26000
Green Room,2015,5000000,3219029,USA,7.1,10000
Valkyrie,2008,75000000,83077470,USA,7.1,0
The Warlords,2007,40000000,128978,Hong Kong,7.1,0
The Longest Ride,2015,34000000,37432299,USA,7.1,23000
Marley & Me,2008,60000000,143151473,USA,7.1,11000
There's Something About Mary,1998,23000000,176483808,USA,7.1,0
Conversations with Other Women,2005,450000,379122,UK,7.1,0
Wild,2014,15000000,37877959,USA,7.1,38000
Iris,2001,5500000,1292119,UK,7.1,0
Being Julia,2004,18000000,7739049,Canada,7.1,562
Mission: Impossible,1996,80000000,180965237,USA,7.1,0
A.I. Artificial Intelligence,2001,100000000,78616689,USA,7.1,11000
The Water Diviner,2014,22500000,4190530,Australia,7.1,18000
Soul Surfer,2011,18000000,43853424,USA,7.1,15000
Spaceballs,1987,22700000,38119483,USA,7.1,13000
Tremors,1990,11000000,16667084,USA,7.1,11000
Side Effects,2013,30000000,32154410,USA,7.1,29000
Treasure Planet,2002,140000000,38120554,USA,7.1,0
Wag the Dog,1997,15000000,43022524,USA,7.1,12000
The Pirate,1948,3700000,2956000,USA,7.1,359
Bottle Rocket,1996,7000000,1040879,USA,7.1,0
The Railway Man,2013,18000000,4435083,Australia,7.1,18000
9,2009,30000000,31743332,USA,7.1,13000
The Gift,2015,5000000,43771291,USA,7.1,15000
Mandela: Long Walk to Freedom,2013,35000000,8324748,UK,7.1,13000
The Cooler,2003,3200000,8243880,USA,7.0,762
Jack Reacher,2012,60000000,80033643,USA,7.0,38000
Zero Effect,1998,5000000,1980338,USA,7.0,507
Courage,2015,20000000,2246000,USA,7.0,0
Black Snake Moan,2006,15000000,9396487,USA,7.0,0
Legend,2015,30000000,1865774,UK,7.0,43000
Trekkies,1997,375000,617172,USA,7.0,672
Snowpiercer,2013,39200000,4563029,South Korea,7.0,58000
The Chumscrubber,2005,6800000,49526,USA,7.0,1000
House of D,2004,6000000,371081,USA,7.0,857
28 Weeks Later,2007,15000000,28637507,UK,7.0,0
The Rookie,2002,20000000,75597042,USA,7.0,0
Austin Powers: International Man of Mystery,1997,17000000,53868030,USA,7.0,0
One Day,2011,15000000,13766014,USA,7.0,49000
ParaNorman,2012,60000000,55994557,USA,7.0,12000
UHF,1989,5000000,6157157,USA,7.0,0
Underworld,2003,22000000,51483949,UK,7.0,0
Trance,2013,20000000,2319187,UK,7.0,23000
Wicker Park,2004,30000000,12831121,USA,7.0,0
Buried,2010,3000000,1028658,Spain,7.0,24000
The Wackness,2008,6000000,2077046,USA,7.0,0
Frankenweenie,2012,39000000,35287788,USA,7.0,25000
The SpongeBob SquarePants Movie,2004,30000000,85416609,USA,7.0,0
I'm Not There.,2007,20000000,4001121,USA,7.0,0
Kundun,1997,28000000,5532301,USA,7.0,0
An Unfinished Life,2005,30000000,8535575,USA,7.0,0
I Married a Strange Person!,1997,250000,203134,USA,7.0,178
Mean Girls,2004,17000000,86049418,USA,7.0,0
Antarctic Edge: 70° South,2015,150000,4914,USA,7.0,215
Bobby,2006,14000000,11204499,USA,7.0,0
Miss Potter,2006,30000000,2975649,UK,7.0,0
The Last Station,2009,13000000,6615578,Germany,7.0,0
Batman Returns,1992,80000000,162831698,USA,7.0,0
Real Women Have Curves,2002,3000000,5844929,USA,7.0,595
Rabbit Hole,2010,5000000,2221809,USA,7.0,0
Meet the Parents,2000,55000000,166225040,USA,7.0,0
Prometheus,2012,130000000,126464904,USA,7.0,97000
Thor,2011,150000000,181015141,USA,7.0,63000
Scrooged,1988,32000000,60328558,USA,7.0,11000
Courageous,2011,2000000,34522221,USA,7.0,10000
The Lucky Ones,2008,15000000,183088,USA,7.0,702
Another Earth,2011,100000,1316074,USA,7.0,21000
Maleficent,2014,180000000,241407328,USA,7.0,89000
Igby Goes Down,2002,9000000,4681503,USA,7.0,838
The Prince of Egypt,1998,70000000,101217900,USA,7.0,0
The Cabin in the Woods,2012,30000000,42043633,USA,7.0,66000
The Bounty,1984,25000000,8600000,UK,7.0,1000
Iron Man 2,2010,200000000,312057433,USA,7.0,18000
One True Thing,1998,30000000,23209440,USA,7.0,592
Hellboy II: The Golden Army,2008,85000000,75754670,USA,7.0,3000
John Q,2002,36000000,71026631,USA,7.0,0
Ghost,1990,22000000,217631306,USA,7.0,0
What Dreams May Come,1998,85000000,55350897,USA,7.0,32000
Oblivion,2013,120000000,89021735,USA,7.0,71000
The Thirteenth Floor,1999,16000000,15500000,Germany,7.0,0
Kill the Messenger,2014,5000000,2445646,USA,7.0,13000
The Conspirator,2010,25000000,11538204,USA,7.0,0
We're the Millers,2013,37000000,150368971,USA,7.0,35000
Spirit: Stallion of the Cimarron,2002,80000000,73215310,USA,7.0,4000
Pollock,2000,6000000,8596914,USA,7.0,0
The Italian Job,2003,60000000,106126012,USA,7.0,0
Safety Not Guaranteed,2012,750000,4007792,USA,7.0,31000
Harsh Times,2005,2000000,3335839,USA,7.0,0
Urbania,2000,225000,1027119,USA,7.0,72
Trance,2013,20000000,2319187,UK,7.0,23000
Burn After Reading,2008,37000000,60338891,USA,7.0,0
Flash of Genius,2008,20000000,4234040,USA,7.0,0
World War Z,2013,190000000,202351611,USA,7.0,129000
Ever After: A Cinderella Story,1998,26000000,65703412,USA,7.0,0
The Broken Hearts Club: A Romantic Comedy,2000,1000000,1744858,USA,7.0,671
Jurassic World,2015,150000000,652177271,USA,7.0,150000
Ice Age: Dawn of the Dinosaurs,2009,90000000,196573705,USA,7.0,0
Wicker Park,2004,30000000,12831121,USA,7.0,0
Paul,2011,40000000,37371385,USA,7.0,42000
A Serious Man,2009,7000000,9190525,USA,7.0,10000
Poolhall Junkies,2002,4000000,562059,USA,7.0,872
Cloverfield,2008,25000000,80034302,USA,7.0,0
Charlie Bartlett,2007,12000000,3950294,USA,7.0,0
The Host,2006,12215500000,2201412,South Korea,7.0,7000
Last Orders,2001,12000000,2326407,UK,7.0,305
Cloudy with a Chance of Meatballs,2009,100000000,124870275,USA,7.0,0
Julie & Julia,2009,40000000,94125426,USA,7.0,13000
Primer,2004,7000,424760,USA,7.0,19000
Cadillac Records,2008,12000000,8134217,USA,7.0,0
Non-Stop,2014,50000000,91439400,UK,7.0,24000
In the Heart of the Sea,2015,100000000,24985612,USA,7.0,27000
Pacific Rim,2013,190000000,101785482,USA,7.0,83000
Cinderella,2015,95000000,201148159,USA,7.0,56000
Pineapple Express,2008,27000000,87341380,USA,7.0,0
Spy Game,2001,92000000,26871,Germany,7.0,0
The Neon Demon,2016,7000000,1330827,France,7.0,0
Ted,2012,50000000,218628680,USA,7.0,74000
Dracula: Pages from a Virgin's Diary,2002,1600000,39659,Canada,7.0,131
End of the Spear,2005,10000000,11703287,USA,7.0,1000
Big Eyes,2014,10000000,14479776,USA,7.0,20000
My Week with Marilyn,2011,6400000,14597405,UK,7.0,17000
Curse of the Golden Flower,2006,45000000,6565495,China,7.0,0
Syriana,2005,50000000,50815288,USA,7.0,0
The Lost Skeleton of Cadavra,2001,40000,110536,USA,7.0,0
Trust,2010,9500000,58214,USA,7.0,10000
Jesus' Son,1999,2500000,1282084,USA,7.0,500
The World's End,2013,20000000,26003149,UK,7.0,49000
Seven Years in Tibet,1997,70000000,37901509,USA,7.0,0
Rio,2011,90000000,143618384,USA,7.0,19000
I Am Love,2009,10000000,5004648,Italy,7.0,0
Public Enemies,2009,100000000,97030725,USA,7.0,0
Trollhunter,2010,19900000,252652,Norway,7.0,38000
Time to Choose,2015,3500000,29233,USA,7.0,121
Unleashed,2005,45000000,24520892,France,7.0,0
Hollywood Shuffle,1987,100000,5228617,USA,7.0,471
Tropic Thunder,2008,92000000,110416702,USA,7.0,0
Notting Hill,1999,42000000,116006080,UK,7.0,11000
Wayne's World,1992,20000000,121697350,USA,7.0,0
A Most Violent Year,2014,20000000,5749134,USA,7.0,0
Legend of the Guardians: The Owls of Ga'Hoole,2010,80000000,55673333,USA,7.0,16000
Hellraiser,1987,1000000,14564027,UK,7.0,0
Rent,2005,40000000,29077547,USA,7.0,3000
8 Mile,2002,41000000,116724075,USA,7.0,0
Dream with the Fishes,1997,1000000,464655,USA,7.0,166
Black Mass,2015,53000000,62563543,USA,7.0,44000
Thunderball,1965,9000000,63600000,UK,7.0,0
Out of Sight,1998,48000000,37339525,USA,7.0,0
Happy Gilmore,1996,12000000,38624000,USA,7.0,0
The Contender,2000,20000000,17804273,USA,7.0,1000
The Amazing Catfish,2013,1300000,11278,Mexico,7.0,407
The X Files,1998,66000000,83892374,USA,7.0,0
American Pie,1999,11000000,101736215,USA,7.0,0
The Perfect Game,2009,12500000,1089445,Canada,7.0,0
The Color of Money,1986,13800000,52293982,USA,7.0,0
Boiler Room,2000,8000000,16938179,USA,7.0,0
Knocked Up,2007,30000000,148734225,USA,7.0,0
Les visiteurs,1993,50000000,700000,France,7.0,0
Time Bandits,1981,5000000,42365600,UK,7.0,0
My Dog Skip,2000,5000000,34099640,USA,7.0,0
Million Dollar Arm,2014,25000000,36447959,USA,7.0,10000
Crank,2006,12000000,27829874,USA,7.0,0
Syriana,2005,50000000,50815288,USA,7.0,0
Annie Get Your Gun,1950,3768785,8000000,USA,7.0,456
Bright Star,2009,8500000,4440055,UK,7.0,0
Stir of Echoes,1999,12000000,21133087,USA,7.0,0
Kids,1995,1500000,7417210,USA,7.0,0
Cinderella,2015,95000000,201148159,USA,7.0,56000
Cleopatra,1963,31115000,57750000,UK,7.0,0
The Amazing Spider-Man,2012,230000000,262030663,USA,7.0,56000
Jack Reacher,2012,60000000,80033643,USA,7.0,38000
Chicken Run,2000,45000000,106793915,UK,7.0,0
Radio Flyer,1992,35000000,4651977,USA,6.9,892
Gridiron Gang,2006,30000000,38432823,USA,6.9,0
When Did You Last See Your Father?,2007,8000000,1071240,UK,6.9,429
A Good Year,2006,35000000,7458269,USA,6.9,9000
Conan the Barbarian,1982,20000000,37567440,USA,6.9,0
Independence Day,1996,75000000,306124059,USA,6.9,16000
El Mariachi,1992,7000,2040920,USA,6.9,0
Kingpin,1996,27000000,24944213,USA,6.9,3000
The History Boys,2006,2000000,2706659,UK,6.9,0
Cop Land,1997,10000000,44886089,USA,6.9,2000
Get on Up,2014,30000000,30513940,USA,6.9,11000
Bill & Ted's Excellent Adventure,1989,10000000,40485039,USA,6.9,0
Return to Me,2000,24000000,32662299,USA,6.9,0
Wild Target,2010,8000000,117190,UK,6.9,0
Labor Day,2013,18000000,13362308,USA,6.9,0
Imagine Me & You,2005,7900000,671240,UK,6.9,0
He Got Game,1998,25000000,21554585,USA,6.9,0
The Last Dragon,1985,10000000,33000000,USA,6.9,0
Unknown,2011,30000000,61094903,UK,6.9,29000
The Last Castle,2001,60000000,18208078,USA,6.9,0
The Iceman,2012,10000000,1939441,USA,6.9,20000
Green Zone,2010,100000000,35024475,France,6.9,0
Little Shop of Horrors,1986,25000000,38747385,USA,6.9,0
Hearts in Atlantis,2001,31000000,24185781,USA,6.9,0
You Only Live Twice,1967,9500000,43100000,UK,6.9,0
The Road to El Dorado,2000,95000000,50802661,USA,6.9,0
Get Shorty,1995,30250000,72077000,USA,6.9,0
Jab Tak Hai Jaan,2012,7217600,3047539,India,6.9,12000
Chappie,2015,49000000,31569268,USA,6.9,67000
Sunshine Cleaning,2008,8000000,12055108,USA,6.9,0
The Diary of a Teenage Girl,2015,2000000,1477002,USA,6.9,0
The Majestic,2001,72000000,27796042,USA,6.9,0
When the Cat's Away,1996,300000,1652472,France,6.9,166
Veronica Guerin,2003,17000000,1569918,Ireland,6.9,0
Madagascar 3: Europe's Most Wanted,2012,145000000,216366733,USA,6.9,17000
Four Brothers,2005,45000000,74484168,USA,6.9,0
Saved!,2004,5000000,8786715,USA,6.9,0
Mr. Peabody & Sherman,2014,145000000,111505642,USA,6.9,11000
Vanilla Sky,2001,68000000,100614858,USA,6.9,0
Mission: Impossible III,2006,150000000,133382309,USA,6.9,0
The Book of Eli,2010,80000000,94822707,USA,6.9,20000
Sea Rex 3D: Journey to a Prehistoric World,2010,5000000,4074023,UK,6.9,89
The Rose,1979,8500000,29200000,USA,6.9,1000
Patriot Games,1992,45000000,83287363,USA,6.9,0
The Beyond,1981,400000,126387,Italy,6.9,2000
Lights Out,2016,4900000,56536016,USA,6.9,0
Shadow of the Vampire,2000,8000000,8279017,UK,6.9,0
Captain America: The First Avenger,2011,140000000,176636816,USA,6.9,46000
Napoleon Dynamite,2004,400000,44540956,USA,6.9,0
Top Gun,1986,15000000,176781728,USA,6.9,19000
Elf,2003,33000000,173381405,USA,6.9,21000
Madagascar,2005,75000000,193136719,USA,6.9,0
The 33,2015,26000000,12188642,Chile,6.9,0
Soul Food,1997,7500000,43490057,USA,6.9,508
Dreamer: Inspired by a True Story,2005,32000000,32701088,USA,6.9,0
All Is Lost,2013,9000000,6262942,USA,6.9,18000
Bolt,2008,150000000,114053579,USA,6.9,0
Disturbia,2007,20000000,80050171,USA,6.9,0
Ice Age: The Meltdown,2006,80000000,195329763,USA,6.9,0
Lovely & Amazing,2001,250000,4186931,USA,6.9,169
That Thing You Do!,1996,26000000,25809813,USA,6.9,0
Cats Don't Dance,1997,32000000,3562749,USA,6.9,643
Cradle Will Rock,1999,32000000,2899970,USA,6.9,625
Of Horses and Men,2013,10000000,11835,Iceland,6.9,1000
Sunshine State,2002,5600000,3064356,USA,6.9,160
The Hunting Party,2007,25000000,876671,USA,6.9,0
Robin Hood: Prince of Thieves,1991,48000000,165500000,USA,6.9,0
Mumford,1999,28000000,4554569,USA,6.9,209
Suicide Squad,2016,175000000,161087183,USA,6.9,80000
Basquiat,1996,3300000,2961991,USA,6.9,0
Beyond the Lights,2014,7000000,14612840,USA,6.9,0
East Is East,1999,1900000,4170647,UK,6.9,1000
Serendipity,2001,28000000,49968653,USA,6.9,12000
Dolphin Tale,2011,37000000,72279690,USA,6.9,0
Extremely Loud & Incredibly Close,2011,40000000,31836745,USA,6.9,39000
The East,2013,6500000,2268296,UK,6.9,12000
Breakdown,1997,36000000,50129186,USA,6.9,0
Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,750000,5518918,USA,6.9,307
The Island,2005,126000000,35799026,USA,6.9,0
The Devil's Rejects,2005,7000000,16901126,USA,6.9,0
Role Models,2008,28000000,67266300,Germany,6.9,0
Conan the Barbarian,1982,20000000,37567440,USA,6.9,0
Jersey Boys,2014,40000000,47034272,USA,6.9,16000
Joe,2013,4000000,371897,USA,6.9,11000
Clean,2004,4500,136007,France,6.9,171
Horrible Bosses,2011,35000000,117528646,USA,6.9,31000
It Follows,2014,2000000,14673301,USA,6.9,45000
The Business of Fancydancing,2002,200000,174682,USA,6.9,96
Unknown,2011,30000000,61094903,UK,6.9,29000
Steamboy,2004,2127519898,410388,Japan,6.9,973
The Island,2005,126000000,35799026,USA,6.9,0
The Upside of Anger,2005,9000000,18761993,USA,6.9,549
Water for Elephants,2011,38000000,58700247,USA,6.9,33000
Disturbia,2007,20000000,80050171,USA,6.9,0
Special,2006,1000000,6387,USA,6.9,0
Ace Ventura: Pet Detective,1994,12000000,72217000,USA,6.9,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,180000000,291709845,USA,6.9,0
Jay and Silent Bob Strike Back,2001,22000000,30059386,USA,6.9,0
The Emperor's Club,2002,12500000,14060950,USA,6.9,0
The Brothers Bloom,2008,20000000,3519627,USA,6.9,0
Bon voyage,2003,20000000,2353728,France,6.9,235
