title,budget,runtime,revenue,vote_average,vote_count,year,country
Lost in Translation,4000000,102.0,119723856,7.3,1895,2003,JP
"O Brother, Where Art Thou?",26000000,106.0,71868327,7.3,1112,2000,FR
Toy Story 2,90000000,92.0,497366869,7.3,3806,1999,US
Pitch Perfect,17000000,112.0,115350426,7.3,2247,2012,US
Ed Wood,18000000,127.0,5887457,7.3,630,1994,US
The Fifth Element,90000000,126.0,263920180,7.3,3885,1997,FR
Hamlet,0,242.0,0,7.3,117,1996,GB
Lolita,2000000,153.0,9250000,7.3,395,1962,GB
"4 Months, 3 Weeks and 2 Days",852510,113.0,1185783,7.3,156,2007,BE
Fruitvale Station,0,85.0,17385830,7.3,390,2013,US
American Psycho,7000000,102.0,34266564,7.3,2066,2000,CA
A Hard Day's Night,560000,88.0,12299668,7.3,168,1964,GB
The Right Stuff,27000000,193.0,21500000,7.3,235,1983,US
The Count of Monte Cristo,35000000,131.0,75395048,7.3,453,2002,US
Now Is Good,0,103.0,0,7.3,371,2012,GB
Casino Royale,150000000,144.0,599045960,7.3,3855,2006,IT
Apocalypto,40000000,139.0,120175290,7.3,1221,2006,US
The Revenant,135000000,156.0,532950503,7.3,6396,2015,CA
The Raid,1100000,101.0,4105187,7.3,1055,2011,ID
Memoirs of a Geisha,85000000,145.0,162242962,7.3,652,2005,US
Furious 7,190000000,137.0,1506249360,7.3,4176,2015,JP
The Curious Case of Benjamin Button,150000000,166.0,333932083,7.3,3292,2008,US
Deconstructing Harry,20000000,96.0,10686841,7.3,187,1997,US
The Secret of Kells,0,75.0,0,7.3,181,2009,BE
Now You See Me,75000000,115.0,117698894,7.3,5487,2013,US
The Kite Runner,20000000,128.0,73276047,7.3,394,2007,CN
Begin Again,8000000,104.0,63464861,7.3,1254,2013,US
The Book of Life,50000000,95.0,97437106,7.3,755,2014,MX
Southpaw,30000000,123.0,91709827,7.3,2067,2015,US
My Cousin Vinny,11000000,120.0,64088552,7.3,384,1992,US
Match Point,15000000,124.0,85306374,7.3,1105,2005,IE
The Longest Ride,34000000,128.0,63013281,7.3,1064,2015,US
Inside Man,45000000,129.0,184376254,7.3,1630,2006,US
Avengers: Age of Ultron,280000000,141.0,1405403694,7.3,6767,2015,US
The Great Gatsby,105000000,143.0,351040419,7.3,3769,2013,US
Crash,6500000,112.0,98410061,7.2,1149,2004,DE
The Wailing,0,156.0,0,7.2,250,2016,KR
The Longest Day,10000000,178.0,50100000,7.2,234,1962,US
True Grit,38000000,110.0,252276927,7.2,1668,2010,US
The Hangover,35000000,100.0,459270619,7.2,6173,2009,DE
Hero,31000000,99.0,177394432,7.2,635,2002,CN
Brooklyn,11000000,111.0,62076141,7.2,1213,2015,CA
Eddie the Eagle,23000000,106.0,46152800,7.2,661,2016,DE
The Omen,2800000,111.0,60922980,7.2,476,1976,GB
The Texas Chain Saw Massacre,85000,83.0,30859000,7.2,590,1974,US
Finding Neverland,25000000,106.0,116766556,7.2,1223,2004,GB
Dark City,27000000,100.0,27200316,7.2,828,1998,AU
Inside Llewyn Davis,11000000,105.0,32935319,7.2,834,2013,US
The Blind Side,29000000,129.0,309208309,7.2,1597,2009,US
The Best of Me,26000000,117.0,35926213,7.2,765,2014,US
Taken,25000000,93.0,226830568,7.2,4369,2008,FR
The Butler,25000000,132.0,115922175,7.2,1101,2013,US
The Fighter,25000000,116.0,93617009,7.2,1486,2010,US
21 Grams,20000000,124.0,60427839,7.2,918,2003,US
The Hurt Locker,15000000,131.0,42000000,7.2,1840,2008,US
Sicario,30000000,121.0,84025816,7.2,2416,2015,US
Interview with the Vampire,60000000,123.0,223664608,7.2,1516,1994,US
End of Watch,7000000,109.0,48126384,7.2,1170,2012,US
The Reader,32000000,124.0,113019290,7.2,813,2008,DE
Glory Road,0,118.0,42647449,7.2,144,2006,US
Corpse Bride,40000000,77.0,117195061,7.2,1894,2005,US
As Good as It Gets,50000000,139.0,314178011,7.2,915,1997,US
Fear and Loathing in Las Vegas,18500000,118.0,10680275,7.2,1301,1998,US
"Crouching Tiger, Hidden Dragon",17000000,120.0,213525736,7.2,927,2000,CN
The Devil's Advocate,57000000,144.0,152944660,7.2,1374,1997,DE
Enter the Void,13000000,161.0,754249,7.2,387,2009,CA
Mean Streets,500000,110.0,3000000,7.2,345,1973,US
White Oleander,0,109.0,0,7.2,108,2002,DE
Legends of the Fall,30000000,133.0,160638883,7.2,619,1994,US
The Thin Red Line,52000000,170.0,98126565,7.2,771,1998,CA
Law Abiding Citizen,53000000,109.0,126690726,7.2,1486,2009,US
Life as a House,18000000,125.0,0,7.2,120,2001,US
Sense and Sensibility,16500000,136.0,135000000,7.2,352,1995,GB
The White Ribbon,15238800,144.0,0,7.2,255,2009,AT
The Hunt for Red October,30000000,134.0,199200000,7.2,957,1990,US
Kiss Kiss Bang Bang,15000000,103.0,15785148,7.2,886,2005,US
Sarah's Key,10000000,111.0,17511906,7.2,196,2010,FR
First Blood,15000000,93.0,125212904,7.2,1488,1982,US
Kung Fu Hustle,20000000,99.0,100914445,7.2,831,2004,CN
The Fisher King,24000000,137.0,41895491,7.2,341,1991,US
Zombieland,23600000,88.0,102391382,7.2,3550,2009,US
Frost/Nixon,0,122.0,0,7.2,328,2008,US
The Muppet Christmas Carol,0,85.0,27281507,7.2,212,1992,US
The Boat That Rocked,50000000,116.0,36348784,7.2,666,2009,DE
A Nightmare on Elm Street,1800000,91.0,25504513,7.2,1180,1984,US
I Am Sam,22000000,132.0,92542418,7.2,530,2001,US
Black Book,21000000,145.0,26193068,7.2,277,2006,NL
Joyeux Noël,22000000,116.0,17709155,7.2,212,2005,BE
Eastern Promises,51500000,100.0,55112356,7.2,848,2007,GB
Close Encounters of the Third Kind,20000000,135.0,303788635,7.2,1098,1977,US
Malcolm X,34000000,202.0,48169908,7.2,370,1992,US
Ray,40000000,152.0,124731534,7.2,467,2004,US
The Hurricane,50000000,146.0,73956241,7.2,396,1999,US
Sin City,40000000,124.0,158733820,7.2,2691,2005,US
Letters from Iwo Jima,19000000,141.0,68673228,7.2,541,2006,JP
Barney's Version,30000000,134.0,8454301,7.2,129,2010,CA
The Judge,50000000,141.0,83719388,7.2,1417,2014,US
The Sea Inside,12806000,125.0,38535221,7.2,219,2004,ES
Bridge of Spies,40000000,141.0,165478348,7.2,2583,2015,IN
Midnight Run,30000000,126.0,38413606,7.2,238,1988,US
The Fugitive,44000000,130.0,368875760,7.2,1220,1993,US
Avatar,237000000,162.0,2787965087,7.2,11800,2009,US
The Damned United,10000000,97.0,0,7.2,152,2009,GB
Menace II Society,3500000,97.0,27900000,7.2,173,1993,US
The Boondock Saints,6000000,108.0,30471,7.2,837,1999,CA
Somewhere in Time,5100000,103.0,0,7.2,102,1980,US
Saw,1200000,103.0,103911669,7.2,2184,2004,US
Boys Don't Cry,2000000,118.0,11540607,7.2,353,1999,US
Dope,700000,103.0,17986781,7.2,691,2015,US
The Lady from Shanghai,2300000,87.0,0,7.2,102,1947,US
The Emperor's New Groove,100000000,78.0,169327687,7.2,1490,2000,US
Black Hawk Down,92000000,144.0,172989651,7.2,1811,2001,GB
Run Lola Run,1530000,81.0,7267585,7.2,664,1998,DE
Nowhere Boy,0,98.0,0,7.2,244,2009,CA
Much Ado About Nothing,8000000,111.0,0,7.2,189,1993,GB
Religulous,0,101.0,0,7.2,197,2008,US
Life of Pi,120000000,127.0,609016565,7.2,5797,2012,US
The Legend of Drunken Master,0,102.0,0,7.2,242,1994,HK
Contact,90000000,150.0,171120329,7.2,1308,1997,US
Dead Man's Shoes,0,90.0,0,7.2,151,2004,GB
Treasure Planet,140000000,95.0,109578115,7.2,948,2002,US
Ocean's Eleven,85000000,116.0,450717150,7.2,3783,2001,US
The Bourne Supremacy,75000000,108.0,288500217,7.2,2825,2004,DE
(500) Days of Summer,7500000,95.0,60722734,7.2,2904,2009,US
Goldfinger,2500000,110.0,124881062,7.2,987,1964,GB
25th Hour,15000000,135.0,13060843,7.2,629,2002,US
Blazing Saddles,2600000,93.0,119500000,7.2,609,1974,US
Escape from Alcatraz,8000000,111.0,43000000,7.2,561,1979,US
Frances Ha,0,86.0,4069826,7.2,345,2013,BR
From Here to Eternity,1650000,118.0,30500000,7.2,133,1953,US
Scott Pilgrim vs. the World,60000000,112.0,47664559,7.2,2126,2010,US
Grease,6000000,110.0,181813770,7.2,1581,1978,US
Enemy at the Gates,68000000,131.0,96976270,7.2,999,2001,IE
Mad Max: Fury Road,150000000,120.0,378858340,7.2,9427,2015,AU
Ghost Dog: The Way of the Samurai,0,116.0,0,7.2,298,1999,US
Fantasia,2280000,124.0,83320000,7.2,808,1940,US
The Girl with the Dragon Tattoo,90000000,158.0,232617430,7.2,2434,2011,NO
The Illusionist,40000000,110.0,86915017,7.1,1615,2006,CZ
The Equalizer,55000000,132.0,192330738,7.1,2954,2014,US
Across the Universe,0,133.0,0,7.1,410,2007,US
The Flowers of War,94000000,145.0,95311434,7.1,187,2011,CN
Gangs of New York,100000000,167.0,193772504,7.1,1910,2002,US
National Lampoon's Vacation,15000000,98.0,61399552,7.1,410,1983,US
Indiana Jones and the Temple of Doom,28000000,118.0,333000000,7.1,2781,1984,US
Leaving Las Vegas,3600000,112.0,49800000,7.1,360,1995,US
Les Misérables,61000000,157.0,441809770,7.1,1884,2012,GB
Wreck-It Ralph,165000000,108.0,471222889,7.1,4570,2012,US
Trash,0,112.0,0,7.1,242,2014,BR
Perfume: The Story of a Murderer,50000000,147.0,132180323,7.1,1165,2006,ES
K-PAX,48000000,120.0,50315140,7.1,695,2001,DE
A Few Good Men,40000000,138.0,243240178,7.1,877,1992,US
The Messenger,6500000,113.0,1521261,7.1,119,2009,US
They Live,4000000,94.0,13008928,7.1,550,1988,US
Total Recall,65000000,113.0,261317921,7.1,1710,1990,US
Lars and the Real Girl,12000000,106.0,11293663,7.1,509,2007,US
Source Code,32000000,93.0,147332697,7.1,2699,2011,CA
Soul Kitchen,5000000,99.0,17872796,7.1,116,2009,DE
The Orphanage,0,105.0,44000000,7.1,633,2007,ES
Take Shelter,5000000,120.0,3099314,7.1,471,2011,US
Quest for Fire,12000000,100.0,55260558,7.1,109,1981,CA
The Godfather: Part III,54000000,162.0,136766062,7.1,1546,1990,IT
August Rush,25000000,114.0,66122026,7.1,797,2007,US
The Way Way Back,4600000,103.0,23198652,7.1,688,2013,US
[REC],1500000,78.0,30448000,7.1,934,2007,ES
Freeheld,7000000,103.0,573335,7.1,164,2015,US
Home Alone,18000000,103.0,476684675,7.1,2414,1990,US
Lilo & Stitch,80000000,85.0,145771527,7.1,1314,2002,US
Elizabeth,30000000,124.0,82150642,7.1,334,1998,US
Ice Age,59000000,81.0,383257136,7.1,3857,2002,US
Beetlejuice,15000000,92.0,73326666,7.1,1444,1988,US
The Visitors,0,107.0,0,7.1,420,1993,FR
Mission: Impossible - Rogue Nation,150000000,131.0,682330139,7.1,3224,2015,CN
The Hudsucker Proxy,30000000,111.0,0,7.1,275,1994,DE
Buffalo '66,1500000,110.0,2375097,7.1,166,1998,US
St. Vincent,13000000,102.0,54837234,7.1,763,2014,US
House of Flying Daggers,0,119.0,92863945,7.1,439,2004,CN
A Very Long Engagement,47000000,133.0,0,7.1,346,2004,FR
Little White Lies,25000000,154.0,48531470,7.1,380,2010,FR
Eyes Wide Shut,65000000,159.0,162091208,7.1,1234,1999,GB
Race,5000000,134.0,24804129,7.1,478,2016,CA
Whale Rider,8000000,101.0,41400000,7.1,111,2003,NZ
Fast Five,125000000,130.0,626137675,7.1,2438,2011,US
Ghost World,7000000,111.0,0,7.1,426,2001,DE
Kick-Ass,28000000,117.0,96188903,7.1,4645,2010,GB
X-Men: First Class,160000000,132.0,353624124,7.1,5181,2011,US
Red Cliff,80341000,150.0,127814609,7.1,205,2008,CN
Big Trouble in Little China,25000000,99.0,11000000,7.1,705,1986,US
Videodrome,5952000,87.0,2120439,7.1,454,1983,CA
The Piano,7000000,121.0,116700000,7.1,281,1993,NZ
The Social Network,40000000,120.0,224920315,7.1,3391,2010,US
Identity,30000000,90.0,90259536,7.1,1061,2003,US
My Own Private Idaho,2500000,104.0,0,7.1,212,1991,US
American Splendor,0,101.0,6003587,7.1,120,2003,US
Reign Over Me,20000000,124.0,22222308,7.1,334,2007,US
Ida,2159280,80.0,10700000,7.1,260,2013,DK
Headhunters,0,100.0,15699707,7.1,399,2011,DE
The Hobbit: The Battle of the Five Armies,250000000,144.0,956019788,7.1,4760,2014,NZ
The Last of the Mohicans,40000000,112.0,75505856,7.1,732,1992,US
"The Good, The Bad, The Weird",10000000,130.0,0,7.1,193,2008,KR
Nerve,20000000,96.0,83707310,7.1,2181,2016,US
The Man from U.N.C.L.E.,75000000,116.0,108145109,7.1,2265,2015,US
The Life Aquatic with Steve Zissou,50000000,119.0,34808403,7.1,775,2004,US
The Intern,35000000,121.0,194564672,7.1,1881,2015,US
Pi,60000,84.0,3221152,7.1,586,1998,US
28 Days Later,5000000,113.0,82719885,7.1,1777,2002,GB
Star Wars: Episode III - Revenge of the Sith,113000000,140.0,850000000,7.1,4116,2005,US
Milk,20000000,128.0,54586584,7.1,612,2008,US
Irreversible,0,97.0,792,7.1,538,2002,FR
The Wind That Shakes the Barley,6500000,124.0,22889018,7.1,154,2006,IE
Trading Places,40600000,116.0,90400000,7.1,738,1983,US
Back to the Future Part III,40000000,118.0,244527583,7.1,2900,1990,US
Dracula,40000000,128.0,215862692,7.1,1056,1992,US
Garden State,2500000,102.0,26781723,7.1,618,2004,US
The Abyss,70000000,139.0,90000098,7.1,808,1989,US
Stardust,70000000,127.0,135560026,7.1,1184,2007,IS
The Baader Meinhof Complex,27000000,150.0,0,7.1,157,2008,CZ
My Sister's Keeper,30000000,109.0,95714875,7.1,598,2009,US
"Good Morning, Vietnam",13000000,121.0,123922370,7.1,642,1987,US
Airplane!,3500000,88.0,83453539,7.1,1074,1980,US
The Virgin Suicides,6000000,97.0,10409377,7.1,817,1999,US
Silverado,26000000,127.0,0,7.1,146,1985,US
Despicable Me,69000000,95.0,543513985,7.1,6478,2010,US
Thank You for Smoking,6500000,92.0,24793509,7.1,664,2005,US
Argo,44500000,120.0,232324128,7.1,3423,2012,US
Frenzy,3500000,116.0,12600000,7.1,158,1972,GB
Captain America: Civil War,250000000,147.0,1153304495,7.1,7241,2016,US
Rise of the Guardians,145000000,97.0,306941670,7.1,1922,2012,US
Erin Brockovich,52000000,131.0,256271286,7.1,716,2000,US
Stranger Than Fiction,30000000,113.0,53653224,7.1,721,2006,US
The Proposition,2000000,104.0,5048693,7.1,218,2005,AU
"South Park: Bigger, Longer & Uncut",21000000,81.0,0,7.1,893,1999,US
Minority Report,102000000,145.0,358372926,7.1,2608,2002,US
The Painted Veil,19400000,125.0,0,7.1,312,2006,CA
Lords of Dogtown,25000000,107.0,13411957,7.0,210,2005,DE
Little Women,18000000,115.0,0,7.0,215,1994,US
Pay It Forward,40000000,122.0,55707411,7.0,432,2000,US
The Bucket List,45000000,97.0,175372502,7.0,1111,2007,US
The Vow,30000000,104.0,196114570,7.0,1293,2012,US
Sherlock Holmes: A Game of Shadows,125000000,129.0,334615000,7.0,3886,2011,US
Miracle,28000000,135.0,64445708,7.0,159,2004,US
The Last Castle,72000000,131.0,27642707,7.0,285,2001,US
Maleficent,180000000,97.0,758539785,7.0,4496,2014,US
One Day,15000000,107.0,59389433,7.0,978,2011,GB
Star Trek: First Contact,46000000,111.0,150000000,7.0,661,1996,US
Wild,15000000,115.0,52501541,7.0,951,2014,US
Dangerous Liaisons,14000000,119.0,34670720,7.0,257,1988,GB
Monster,8000000,110.0,60378584,7.0,485,2003,US
Carnage,25000000,80.0,27603069,7.0,738,2011,ES
Hugo,170000000,126.0,185770160,7.0,2141,2011,FR
The NeverEnding Story,27000000,102.0,20158808,7.0,1002,1984,DE
Sleeper,2000000,89.0,18344729,7.0,200,1973,US
Heavenly Creatures,5000000,99.0,3049135,7.0,294,1994,NZ
Friday,3500000,91.0,28215918,7.0,503,1995,US
Patch Adams,50000000,115.0,202292902,7.0,832,1998,US
Scream,14000000,111.0,173046663,7.0,1476,1996,US
22 Jump Street,50000000,112.0,188441614,7.0,3319,2014,US
Arlington Road,21500000,117.0,0,7.0,239,1999,US
"Crazy, Stupid, Love.",50000000,118.0,142851197,7.0,2443,2011,US
Chasing Mavericks,0,117.0,0,7.0,216,2012,US
Moneyball,50000000,133.0,110206216,7.0,1381,2011,US
The Conjuring 2,40000000,134.0,320170008,7.0,1949,2016,CA
Little Boy,20000000,106.0,6420319,7.0,185,2015,MX
Bullets Over Broadway,0,98.0,0,7.0,130,1994,US
Capitalism: A Love Story,20000000,120.0,17436509,7.0,167,2009,US
13 Hours: The Secret Soldiers of Benghazi,50000000,144.0,69411370,7.0,938,2016,MT
Timecrimes,2600000,92.0,553198,7.0,308,2007,ES
Animal House,2700000,109.0,141000000,7.0,418,1978,US
High Fidelity,30000000,113.0,47126295,7.0,628,2000,GB
The Talented Mr. Ripley,40000000,139.0,128798265,7.0,767,1999,US
Doubt,20000000,104.0,50907234,7.0,435,2008,US
Selena,20000000,127.0,60000000,7.0,114,1997,US
The Aviator,116000000,170.0,102000000,7.0,1489,2004,US
The Assassination of Jesse James by the Coward Robert Ford,30000000,160.0,14711793,7.0,776,2007,CA
Four Lions,967686,101.0,4270000,7.0,423,2010,GB
A Time to Kill,40000000,149.0,152266007,7.0,509,1996,US
Blue Jasmine,18000000,98.0,99206215,7.0,1098,2013,US
Running Scared,17000000,122.0,9500000,7.0,331,2006,DE
Radio Days,16000000,90.0,0,7.0,127,1987,US
Notting Hill,42000000,124.0,363889678,7.0,1262,1999,GB
Crimson Tide,53000000,116.0,157387195,7.0,498,1995,US
Sherlock Holmes,90000000,128.0,524028679,7.0,5766,2009,DE
The Secret Life of Walter Mitty,90000000,114.0,188133322,7.0,3144,2013,US
Sleep Tight,5000000,107.0,0,7.0,202,2011,ES
House of Sand and Fog,16500000,126.0,16942795,7.0,199,2003,US
Wall Street,15000000,126.0,43848069,7.0,546,1987,US
My Girl,16500000,102.0,0,7.0,428,1991,US
Paddington,55000000,95.0,259207227,7.0,883,2014,GB
The Lincoln Lawyer,40000000,119.0,85412898,7.0,902,2011,US
Fast Times at Ridgemont High,4500000,90.0,27092880,7.0,322,1982,US
Rise of the Planet of the Apes,93000000,105.0,482860185,7.0,4347,2011,US
The Hobbit: An Unexpected Journey,250000000,169.0,1021103568,7.0,8297,2012,NZ
Superbad,20000000,113.0,121463226,7.0,2100,2007,US
The Phantom of the Opera,70000000,143.0,154648887,7.0,438,2004,GB
Salton Sea,18000000,103.0,676698,7.0,104,2002,US
Sexy Beast,5000000,89.0,0,7.0,217,2000,ES
The Road to El Dorado,95000000,89.0,76432727,7.0,858,2000,US
127 Hours,18000000,94.0,35692920,7.0,2606,2010,GB
Invictus,60000000,134.0,122233971,7.0,1125,2009,US
The Three Burials of Melquiades Estrada,15000000,121.0,12036149,7.0,177,2005,US
Layer Cake,6500000,105.0,11850214,7.0,559,2004,GB
War Horse,66000000,146.0,177584879,7.0,992,2011,US
Me and You and Everyone We Know,0,90.0,0,7.0,107,2005,US
The Age of Innocence,34000000,139.0,32255440,7.0,169,1993,US
Ant-Man,130000000,117.0,519311965,7.0,5880,2015,US
Men of Honor,32000000,129.0,48814909,7.0,544,2000,US
The Hours,25000000,114.0,41597830,7.0,451,2002,US
The Maze Runner,34000000,113.0,348319861,7.0,5371,2014,US
The Terminal,60000000,128.0,219417255,7.0,1910,2004,US
Biutiful,0,148.0,25147786,7.0,291,2010,MX
Seven Years in Tibet,70000000,136.0,131457682,7.0,630,1997,US
Love Actually,40000000,135.0,244931766,7.0,1869,2003,GB
Mud,10000000,130.0,21587700,7.0,1068,2013,US
West Side Story,6000000,152.0,43656822,7.0,389,1961,US
Juno,7500000,96.0,231411584,7.0,2244,2007,US
Bridge to Terabithia,60000000,96.0,137587063,7.0,1113,2007,US
The Master,32000000,137.0,28258060,7.0,701,2012,US
Poltergeist,10700000,114.0,122200000,7.0,794,1982,US
Sunshine,50000000,107.0,32017803,7.0,1182,2007,GB
Oliver!,10000000,153.0,37402877,7.0,103,1968,GB
Mr. Church,8000000,104.0,0,7.0,129,2016,US
Witness,12000000,113.0,68706993,7.0,375,1985,US
WarGames,12000000,114.0,79567667,7.0,504,1983,US
Pale Rider,0,115.0,41410568,7.0,251,1985,US
Despicable Me 2,76000000,98.0,970761885,7.0,4637,2013,US
Driving Miss Daisy,7500000,99.0,145793296,7.0,350,1989,US
Fantasia 2000,80000000,74.0,90874570,7.0,292,1999,US
Lord of War,42000000,122.0,24127895,7.0,1335,2005,FR
Shame,6500000,100.0,17693675,7.0,875,2011,GB
300,65000000,117.0,422610419,7.0,4997,2006,US
Go,6500000,98.0,28451622,7.0,196,1999,US
The Bélier Family,11000000,105.0,0,7.0,766,2014,FR
Imagine Me & You,0,93.0,2455831,7.0,177,2005,DE
The Andromeda Strain,6500000,131.0,12376563,7.0,190,1971,US
The Land Before Time,12300000,69.0,84460846,7.0,640,1988,IE
Collateral,65000000,120.0,217764291,7.0,1451,2004,US
The English Patient,27000000,162.0,231976425,7.0,542,1996,GB
Mrs. Doubtfire,25000000,125.0,441286195,7.0,1591,1993,US
Pretty Woman,14000000,119.0,463000000,7.0,1746,1990,US
"It's a Mad, Mad, Mad, Mad World",9400000,163.0,60000000,7.0,140,1963,US
Melancholia,7400000,136.0,21817298,7.0,885,2011,DK
The Impossible,42000000,113.0,180274123,7.0,2025,2012,US
Monsters University,200000000,104.0,743559607,7.0,3528,2013,US
Frequency,31000000,118.0,68106245,7.0,462,2000,US
Loose Cannons,7000000,110.0,8220215,7.0,118,2010,IT
The Muppet Movie,0,97.0,76657000,7.0,164,1979,US
Out of Africa,31000000,161.0,128499205,7.0,279,1985,US
Batman,35000000,126.0,411348924,7.0,2096,1989,GB
Finding Forrester,43000000,136.0,80049764,7.0,302,2000,US
Watchmen,130000000,163.0,185258983,7.0,2811,2009,US
The Spanish Apartment,5300000,122.0,3897799,7.0,266,2002,FR
The Young Victoria,35000000,105.0,27409889,7.0,322,2009,GB
John Q,36000000,116.0,102244770,7.0,594,2002,US
Concussion,35000000,123.0,50363790,7.0,823,2015,AU
50/50,8000000,100.0,39187783,7.0,1261,2011,US
Pirates of the Caribbean: Dead Man's Chest,200000000,151.0,1065659812,7.0,5246,2006,JM
The Town,37000000,125.0,154026136,7.0,1468,2010,US
The Last Temptation of Christ,7000000,164.0,8373585,7.0,201,1988,US
Anomalisa,8000000,90.0,5659286,7.0,459,2015,US
Beyond the Lights,7000000,116.0,14618727,7.0,139,2014,US
Cape Fear,35000000,128.0,182300000,7.0,675,1991,US
Open Range,22000000,139.0,68296293,7.0,262,2003,US
Frailty,11000000,100.0,13110448,7.0,334,2001,DE
The Devil Wears Prada,35000000,109.0,326551094,7.0,3088,2006,US
The Trouble with Harry,1200000,99.0,7000000,6.9,149,1955,US
Holy Motors,0,115.0,641100,6.9,228,2012,FR
Notes on a Scandal,15000000,92.0,49469904,6.9,235,2006,GB
Gremlins,11000000,106.0,153083102,6.9,1596,1984,US
Wonder Boys,35000000,111.0,0,6.9,161,2000,DE
United 93,15000000,111.0,76286096,6.9,367,2006,FR
Soul Surfer,18000000,106.0,47088990,6.9,342,2011,US
I Am Legend,150000000,101.0,585349010,6.9,4853,2007,US
Secondhand Lions,0,111.0,0,6.9,260,2003,US
Blue Valentine,3500000,112.0,16566240,6.9,890,2010,US
Cube,250000,90.0,501818,6.9,1069,1997,CA
Mean Girls,17000000,97.0,129042871,6.9,2320,2004,US
Man on the Moon,82000000,118.0,47434430,6.9,435,1999,US
Dr. No,950000,110.0,59600000,6.9,940,1962,JM
Big,18000000,104.0,151668774,6.9,993,1988,US
The Passion of the Christ,30000000,127.0,611899420,6.9,864,2004,US
Hellraiser,1000000,94.0,14564027,6.9,449,1987,GB
Welcome to the Dollhouse,0,88.0,0,6.9,103,1995,US
Agora,70000000,127.0,39041505,6.9,395,2009,ES
Snow White and the Seven Dwarfs,1488423,83.0,184925486,6.9,1914,1937,US
Unbreakable,75000000,106.0,248118121,6.9,1946,2000,US
Primer,7000,77.0,424760,6.9,658,2004,US
Velvet Goldmine,0,119.0,1053788,6.9,116,1998,GB
Babel,25000000,143.0,135330182,6.9,1055,2006,FR
The Simpsons Movie,75000000,87.0,527068851,6.9,2264,2007,US
Two Brothers,74500000,109.0,62172050,6.9,180,2004,FR
A Room with a View,3000000,117.0,20966644,6.9,156,1985,GB
Munich,70000000,164.0,130358911,6.9,696,2005,CA
Rescue Dawn,10000000,126.0,7177143,6.9,336,2006,US
Maria Full of Grace,0,101.0,0,6.9,101,2004,EC
From Dusk Till Dawn,19000000,108.0,25836616,6.9,1603,1996,US
Adam,0,99.0,2277396,6.9,150,2009,US
Pinocchio,2600000,88.0,84300000,6.9,1355,1940,US
A Bridge Too Far,22000000,175.0,50750000,6.9,207,1977,GB
8 Women,8000000,111.0,0,6.9,196,2002,FR
Skyfall,200000000,143.0,1108561013,6.9,7604,2012,GB
It's Kind of a Funny Story,8000000,101.0,6491240,6.9,672,2010,US
Silver Linings Playbook,21000000,122.0,205738714,6.9,4742,2012,US
Death at a Funeral,9000000,90.0,46,6.9,497,2007,GB
The Dead Zone,10000000,103.0,20766616,6.9,311,1983,US
The Outsiders,10000000,91.0,33697647,6.9,291,1983,US
Equilibrium,20000000,107.0,5359645,6.9,1552,2002,US
The Best Exotic Marigold Hotel,10000000,124.0,136836156,6.9,459,2011,AE
Troy,175000000,163.0,497409852,6.9,2759,2004,US
March of the Penguins,8000000,80.0,127392239,6.9,358,2005,FR
Precious,10000000,110.0,47536959,6.9,417,2009,US
Stepmom,0,124.0,0,6.9,277,1998,US
The Next Three Days,30000000,133.0,51148651,6.9,905,2010,US
Bronson,230000,92.0,2260712,6.9,733,2008,GB
The Rock,75000000,136.0,335062621,6.9,1456,1996,US
Traffic,48000000,147.0,207515725,6.9,562,2000,DE
Burlesque,55000000,119.0,89519773,6.9,573,2010,US
The Ice Storm,18000000,112.0,8038061,6.9,176,1997,FR
Tora! Tora! Tora!,25485000,144.0,29548291,6.9,147,1970,JP
Pirates of the Caribbean: At World's End,300000000,169.0,961000000,6.9,4500,2007,US
Where the Heart Is,15000000,120.0,33771174,6.9,155,2000,US
The Hunger Games,75000000,142.0,691210692,6.9,9455,2012,US
City Island,6000000,104.0,6670712,6.9,113,2009,US
A History of Violence,32000000,96.0,60740827,6.9,832,2005,US
Clerks II,5000000,97.0,26888376,6.9,398,2006,US
Escape from New York,6000000,99.0,50244700,6.9,703,1981,US
Mean Creek,500000,90.0,603943,6.9,106,2004,US
Superman,55000000,143.0,300218018,6.9,1022,1978,GB
Bicentennial Man,100000000,131.0,93700000,6.9,963,1999,DE
Star Trek IV: The Voyage Home,24000000,119.0,133000000,6.9,477,1986,US
Tootsie,21000000,116.0,177200000,6.9,421,1982,US
Triangle,12000000,99.0,0,6.9,612,2009,AU
Kung Fu Panda,130000000,90.0,631744560,6.9,3145,2008,US
The Karate Kid,8000000,126.0,90815558,6.9,891,1984,US
3:10 to Yuma,55000000,122.0,70016220,6.9,1188,2007,US
Mr. Holland's Opus,0,137.0,106269971,6.9,113,1995,US
Quest for Camelot,40000000,86.0,38172500,6.9,190,1998,US
The Great Debaters,15000000,126.0,30226144,6.9,151,2007,US
August: Osage County,25000000,121.0,74188937,6.9,483,2013,US
The Squid and the Whale,1500000,81.0,11098131,6.9,226,2005,US
Meet Joe Black,90000000,178.0,142940100,6.9,1147,1998,US
Punch-Drunk Love,25000000,95.0,17000000,6.9,530,2002,US
The Last Song,0,107.0,0,6.9,923,2010,US
The Greatest Game Ever Played,25000000,120.0,15431177,6.9,110,2005,US
Chicago,45000000,113.0,306776732,6.9,677,2002,US
