Forename,Surname,Name (Display as),Name (List as),Party,Constituency,Address1,Address2,Postcode,Email
George,Duncan Smith,Sir Iain Duncan Smith,"Duncan Smith, Sir Iain",Conservative,Chingford and Woodford Green,House of Commons,London,SW1A 0AA,Iain.duncansmith.mp@parliament.uk
Philip,Dunne,Philip Dunne,"Dunne, Philip",Conservative,Ludlow,House of Commons,London,SW1A 0AA,philip.dunne.mp@parliament.uk
Maria,Eagle,Maria Eagle,"Eagle, Maria",Labour,Garston and Halewood,House of Commons,London,SW1A 0AA,eaglem@parliament.uk
Angela,Eagle,Ms Angela Eagle,"Eagle, Ms Angela",Labour,Wallasey,House of Commons,London,SW1A 0AA,eaglea@parliament.uk
Colum,Eastwood,Colum Eastwood,"Eastwood, Colum",Social Democratic & Labour Party,Foyle,House of Commons,London,SW1A 0AA,colum.eastwood.mp@parliament.uk
Mark,Eastwood,Mark Eastwood,"Eastwood, Mark",Conservative,Dewsbury,House of Commons,London,SW1A 0AA,mark.eastwood.mp@parliament.uk
David,Edwards,Jonathan Edwards,"Edwards, Jonathan",Independent,Carmarthen East and Dinefwr,House of Commons,London,SW1A 0AA,jonathan.edwards.mp@parliament.uk
Ruth,Edwards,Ruth Edwards,"Edwards, Ruth",Conservative,Rushcliffe,House of Commons,London,SW1A 0AA,ruth.edwards.mp@parliament.uk
Clive,Efford,Clive Efford,"Efford, Clive",Labour,Eltham,House of Commons,London,SW1A 0AA,effordc@parliament.uk
Julie,Elliott,Julie Elliott,"Elliott, Julie",Labour,Sunderland Central,House of Commons,London,SW1A 0AA,julie.elliott.mp@parliament.uk
Michael,Ellis,Michael Ellis,"Ellis, Michael",Conservative,Northampton North,House of Commons,London,SW1A 0AA,michael.ellis.mp@parliament.uk
Tobias,Ellwood,Mr Tobias Ellwood,"Ellwood, Mr Tobias",Conservative,Bournemouth East,House of Commons,London,SW1A 0AA,tobias.ellwood.mp@parliament.uk
Christopher,Elmore,Chris Elmore,"Elmore, Chris",Labour,Ogmore,House of Commons,London,SW1A 0AA,Chris.Elmore.mp@parliament.uk
Natalie,Elphicke,Mrs Natalie Elphicke,"Elphicke, Mrs Natalie",Conservative,Dover,House of Commons,London,SW1A 0AA,natalie.elphicke.mp@parliament.uk
Florence,Eshalomi,Florence Eshalomi,"Eshalomi, Florence",Labour,Vauxhall,House of Commons,London,SW1A 0AA,florence.eshalomi.mp@parliament.uk
William,Esterson,Bill Esterson,"Esterson, Bill",Labour,Sefton Central,House of Commons,London,SW1A 0AA,bill.esterson.mp@parliament.uk
Charles,Eustice,George Eustice,"Eustice, George",Conservative,Camborne and Redruth,House of Commons,London,SW1A 0AA,george.eustice.mp@parliament.uk
Christopher,Evans,Chris Evans,"Evans, Chris",Labour,Islwyn,House of Commons,London,SW1A 0AA,chris.evans.mp@parliament.uk
Luke,Evans,Dr Luke Evans,"Evans, Dr Luke",Conservative,Bosworth,House of Commons,London,SW1A 0AA,luke.evans.mp@parliament.uk
Nigel,Evans,Mr Nigel Evans,"Evans, Mr Nigel",Conservative,Ribble Valley,House of Commons,London,SW1A 0AA,evansn@parliament.uk
David,Evennett,Sir David Evennett,"Evennett, Sir David",Conservative,Bexleyheath and Crayford,House of Commons,London,SW1A 0AA,david.evennett.mp@parliament.uk
Ben,Everitt,Ben Everitt,"Everitt, Ben",Conservative,Milton Keynes North,House of Commons,London,SW1A 0AA,ben.everitt.mp@parliament.uk
Michael,Fabricant,Michael Fabricant,"Fabricant, Michael",Conservative,Lichfield,House of Commons,London,SW1A 0AA,
Laura,Farris,Laura Farris,"Farris, Laura",Conservative,Newbury,House of Commons,London,SW1A 0AA,laura.farris.mp@parliament.uk
Timothy,Farron,Tim Farron,"Farron, Tim",Liberal Democrat,Westmorland and Lonsdale,House of Commons,London,SW1A 0AA,farront@parliament.uk
Stephen,Farry,Stephen Farry,"Farry, Stephen",Alliance,North Down,House of Commons,London,SW1A 0AA,stephen.farry.mp@parliament.uk
Simon,Fell,Simon Fell,"Fell, Simon",Conservative,Barrow and Furness,House of Commons,London,SW1A 0AA,simon.fell.mp@parliament.uk
Marion,Fellows,Marion Fellows,"Fellows, Marion",Scottish National Party,Motherwell and Wishaw,House of Commons,London,SW1A 0AA,marion.fellows.mp@parliament.uk
Margaret,Ferrier,Margaret Ferrier,"Ferrier, Margaret",Independent,Rutherglen and Hamilton West,House of Commons,London,SW1A 0AA,margaret.ferrier.mp@parliament.uk
John,Finucane,John Finucane,"Finucane, John",Sinn Féin,Belfast North,House of Commons,London,SW1A 0AA,john.finucane.mp@parliament.uk
Colleen,Fletcher,Colleen Fletcher,"Fletcher, Colleen",Labour,Coventry North East,House of Commons,London,SW1A 0AA,colleen.fletcher.mp@parliament.uk
Katherine,Fletcher,Katherine Fletcher,"Fletcher, Katherine",Conservative,South Ribble,House of Commons,London,SW1A 0AA,katherine.fletcher.mp@parliament.uk
Mark,Fletcher,Mark Fletcher,"Fletcher, Mark",Conservative,Bolsover,House of Commons,London,SW1A 0AA,mark.fletcher.mp@parliament.uk
Nicholas,Fletcher,Nick Fletcher,"Fletcher, Nick",Conservative,Don Valley,House of Commons,London,SW1A 0AA,nick.fletcher.mp@parliament.uk
Stephen,Flynn,Stephen Flynn,"Flynn, Stephen",Scottish National Party,Aberdeen South,House of Commons,London,SW1A 0AA,stephen.flynn.mp@parliament.uk
Victoria,Ford,Vicky Ford,"Ford, Vicky",Conservative,Chelmsford,House of Commons,London,SW1A 0AA,vicky.ford.mp@parliament.uk
Kevin,Foster,Kevin Foster,"Foster, Kevin",Conservative,Torbay,House of Commons,London,SW1A 0AA,kevin.foster.mp@parliament.uk
Yvonne,Fovargue,Yvonne Fovargue,"Fovargue, Yvonne",Labour,Makerfield,House of Commons,London,SW1A 0AA,yvonne.fovargue.mp@parliament.uk
Liam,Fox,Dr Liam Fox,"Fox, Dr Liam",Conservative,North Somerset,House of Commons,London,SW1A 0AA,ione.douglas@parliament.uk
Victoria,Foxcroft,Vicky Foxcroft,"Foxcroft, Vicky",Labour,"Lewisham, Deptford",House of Commons,London,SW1A 0AA,vicky.foxcroft.mp@parliament.uk
Mary,Foy,Mary Kelly Foy,"Foy, Mary Kelly",Labour,City of Durham,House of Commons,London,SW1A 0AA,mary.foy.mp@parliament.uk
Mark,Francois,Mr Mark Francois,"Francois, Mr Mark",Conservative,Rayleigh and Wickford,House of Commons,London,SW1A 0AA,mark.francois.mp@parliament.uk
Lucy,Leigh (Frazer),Lucy Frazer,"Frazer, Lucy",Conservative,South East Cambridgeshire,House of Commons,London,SW1A 0AA,lucy.frazer.mp@parliament.uk
George,Freeman,George Freeman,"Freeman, George",Conservative,Mid Norfolk,House of Commons,London,SW1A 0AA,george.freeman.mp@parliament.uk
Michael,Freer,Mike Freer,"Freer, Mike",Conservative,Finchley and Golders Green,House of Commons,London,SW1A 0AA,mike.freer.mp@parliament.uk
Richard,Fuller,Richard Fuller,"Fuller, Richard",Conservative,North East Bedfordshire,House of Commons,London,SW1A 0AA,richard.fuller.mp@parliament.uk
Gillian,Furniss,Gill Furniss,"Furniss, Gill",Labour,"Sheffield, Brightside and Hillsborough",House of Commons,London,SW1A 0AA,gill.furniss.mp@parliament.uk
Marcus,Fysh,Mr Marcus Fysh,"Fysh, Mr Marcus",Conservative,Yeovil,House of Commons,London,SW1A 0AA,marcus.fysh.mp@parliament.uk
Roger,Gale,Sir Roger Gale,"Gale, Sir Roger",Conservative,North Thanet,House of Commons,London,SW1A 0AA,galerj@parliament.uk
Barry,Gardiner,Barry Gardiner,"Gardiner, Barry",Labour,Brent North,House of Commons,London,SW1A 0AA,gardinerb@parliament.uk
Mark,Garnier,Mark Garnier,"Garnier, Mark",Conservative,Wyre Forest,House of Commons,London,SW1A 0AA,mark.garnier.mp@parliament.uk
Nusrat,Ul-Ghani,Ms Nusrat Ghani,"Ghani, Ms Nusrat",Conservative,Wealden,House of Commons,London,SW1A 0AA,nusrat.ghani.mp@parliament.uk
Nicolas,Gibb,Nick Gibb,"Gibb, Nick",Conservative,Bognor Regis and Littlehampton,House of Commons,London,SW1A 0AA,gibbn@parliament.uk
Patricia,Gibson,Patricia Gibson,"Gibson, Patricia",Scottish National Party,North Ayrshire and Arran,House of Commons,London,SW1A 0AA,patricia.gibson.mp@parliament.uk
Peter,Gibson,Peter Gibson,"Gibson, Peter",Conservative,Darlington,House of Commons,London,SW1A 0AA,peter.gibson.mp@parliament.uk
Joanna,Gideon,Jo Gideon,"Gideon, Jo",Conservative,Stoke-on-Trent Central,House of Commons,London,SW1A 0AA,jo.gideon.mp@parliament.uk
Michelle,Gildernew,Michelle Gildernew,"Gildernew, Michelle",Sinn Féin,Fermanagh and South Tyrone,House of Commons,London,SW1A 0AA,michelle.gildernew.mp@parliament.uk
Preet,Gill,Preet Kaur Gill,"Gill, Preet Kaur",Labour,"Birmingham, Edgbaston",House of Commons,London,SW1A 0AA,preet.gill.mp@parliament.uk
Cheryl,Gillan,Dame Cheryl Gillan,"Gillan, Dame Cheryl",Conservative,Chesham and Amersham,House of Commons,London,SW1A 0AA,cheryl.gillan.mp@parliament.uk
William,Girvan,Paul Girvan,"Girvan, Paul",Democratic Unionist Party,South Antrim,House of Commons,London,SW1A 0AA,paul.girvan.mp@parliament.uk
John,Glen,John Glen,"Glen, John",Conservative,Salisbury,House of Commons,London,SW1A 0AA,john.glen.mp@parliament.uk
Mary,Glindon,Mary Glindon,"Glindon, Mary",Labour,North Tyneside,House of Commons,London,SW1A 0AA,mary.glindon.mp@parliament.uk
Robert,Goodwill,Mr Robert Goodwill,"Goodwill, Mr Robert",Conservative,Scarborough and Whitby,House of Commons,London,SW1A 0AA,robert.goodwill.mp@parliament.uk
Michael,Gove,Michael Gove,"Gove, Michael",Conservative,Surrey Heath,House of Commons,London,SW1A 0AA,michael.gove.mp@parliament.uk
Patrick,Grady,Patrick Grady,"Grady, Patrick",Scottish National Party,Glasgow North,House of Commons,London,SW1A 0AA,patrick.grady.mp@parliament.uk
Richard,Graham,Richard Graham,"Graham, Richard",Conservative,Gloucester,House of Commons,London,SW1A 0AA,richard.graham.mp@parliament.uk
Helen,Grant,Mrs Helen Grant,"Grant, Mrs Helen",Conservative,Maidstone and The Weald,House of Commons,London,SW1A 0AA,helen.grant.mp@parliament.uk
Peter,Grant,Peter Grant,"Grant, Peter",Scottish National Party,Glenrothes,House of Commons,London,SW1A 0AA,peter.grant.mp@parliament.uk
James,Gray,James Gray,"Gray, James",Conservative,North Wiltshire,House of Commons,London,SW1A 0AA,jamesgraymp@parliament.uk
Neil,Gray,Neil Gray,"Gray, Neil",Scottish National Party,Airdrie and Shotts,House of Commons,London,SW1A 0AA,neil.gray.mp@parliament.uk
Christopher,Grayling,Chris Grayling,"Grayling, Chris",Conservative,Epsom and Ewell,House of Commons,London,SW1A 0AA,chris.grayling.mp@parliament.uk
Christopher,Green,Chris Green,"Green, Chris",Conservative,Bolton West,House of Commons,London,SW1A 0AA,chris.green.mp@parliament.uk
Damian,Green,Damian Green,"Green, Damian",Conservative,Ashford,House of Commons,London,SW1A 0AA,damian.green.mp@parliament.uk
Katherine,Green,Kate Green,"Green, Kate",Labour,Stretford and Urmston,House of Commons,London,SW1A 0AA,kate.green.mp@parliament.uk
Lilian,Greenwood,Lilian Greenwood,"Greenwood, Lilian",Labour,Nottingham South,House of Commons,London,SW1A 0AA,lilian.greenwood.mp@parliament.uk
Margaret,Greenwood,Margaret Greenwood,"Greenwood, Margaret",Labour,Wirral West,House of Commons,London,SW1A 0AA,margaret.greenwood.mp@parliament.uk
Andrew,Griffith,Andrew Griffith,"Griffith, Andrew",Conservative,Arundel and South Downs,House of Commons,London,SW1A 0AA,Andrew@GriffithMP.com
Nia,Griffith,Nia Griffith,"Griffith, Nia",Labour,Llanelli,House of Commons,London,SW1A 0AA,nia.griffith.mp@parliament.uk
Kate,Griffiths,Kate Griffiths,"Griffiths, Kate",Conservative,Burton,House of Commons,London,SW1A 0AA,kate.griffiths.mp@parliament.uk
James,Grundy,James Grundy,"Grundy, James",Conservative,Leigh,House of Commons,London,SW1A 0AA,james.grundy.mp@parliament.uk
Jonathan,Gullis,Jonathan Gullis,"Gullis, Jonathan",Conservative,Stoke-on-Trent North,House of Commons,London,SW1A 0AA,jonathan.gullis.mp@parliament.uk
Andrew,Gwynne,Andrew Gwynne,"Gwynne, Andrew",Labour,Denton and Reddish,House of Commons,London,SW1A 0AA,gwynnea@parliament.uk
Louise,Haigh,Louise Haigh,"Haigh, Louise",Labour,"Sheffield, Heeley",House of Commons,London,SW1A 0AA,louise.haigh.mp@parliament.uk
Robert,Halfon,Robert Halfon,"Halfon, Robert",Conservative,Harlow,House of Commons,London,SW1A 0AA,
Luke,Hall,Luke Hall,"Hall, Luke",Conservative,Thornbury and Yate,House of Commons,London,SW1A 0AA,luke.hall.mp@parliament.uk
Fabian,Hamilton,Fabian Hamilton,"Hamilton, Fabian",Labour,Leeds North East,House of Commons,London,SW1A 0AA,fabian.hamilton.mp@parliament.uk
Stephen,Hammond,Stephen Hammond,"Hammond, Stephen",Conservative,Wimbledon,House of Commons,London,SW1A 0AA,stephen.hammond.mp@parliament.uk
Matthew,Hancock,Matt Hancock,"Hancock, Matt",Conservative,West Suffolk,House of Commons,London,SW1A 0AA,matt.hancock.mp@parliament.uk
Gregory,Hands,Greg Hands,"Hands, Greg",Conservative,Chelsea and Fulham,House of Commons,London,SW1A 0AA,handsg@parliament.uk
Claire,Hanna,Claire Hanna,"Hanna, Claire",Social Democratic & Labour Party,Belfast South,House of Commons,London,SW1A 0AA,claire.hanna.mp@parliament.uk
James Neale,Hanvey,Neale Hanvey,"Hanvey, Neale",Scottish National Party,Kirkcaldy and Cowdenbeath,House of Commons,London,SW1A 0AA,neale.hanvey.mp@parliament.uk
Emma,Hardy,Emma Hardy,"Hardy, Emma",Labour,Kingston upon Hull West and Hessle,House of Commons,London,SW1A 0AA,emma.hardy.mp@parliament.uk
Harriet,Harman,Ms Harriet Harman,"Harman, Ms Harriet",Labour,Camberwell and Peckham,House of Commons,London,SW1A 0AA,harriet.harman.mp@parliament.uk
Mark,Harper,Mr Mark Harper,"Harper, Mr Mark",Conservative,Forest of Dean,House of Commons,London,SW1A 0AA,mark.harper.mp@parliament.uk
Carolyn,Harris,Carolyn Harris,"Harris, Carolyn",Labour,Swansea East,House of Commons,London,SW1A 0AA,carolyn.harris.mp@parliament.uk
Rebecca,Harris,Rebecca Harris,"Harris, Rebecca",Conservative,Castle Point,House of Commons,London,SW1A 0AA,rebecca.harris.mp@parliament.uk
Trudy,Harrison,Trudy Harrison,"Harrison, Trudy",Conservative,Copeland,House of Commons,London,SW1A 0AA,trudy.harrison.mp@parliament.uk
Sally-Ann,Hart,Sally-Ann Hart,"Hart, Sally-Ann",Conservative,Hastings and Rye,House of Commons,London,SW1A 0AA,sallyann.hart.mp@parliament.uk
Simon,Hart,Simon Hart,"Hart, Simon",Conservative,Carmarthen West and South Pembrokeshire,House of Commons,London,SW1A 0AA,simon.hart.mp@parliament.uk
Helen,Hayes,Helen Hayes,"Hayes, Helen",Labour,Dulwich and West Norwood,House of Commons,London,SW1A 0AA,helen.hayes.mp@parliament.uk
John,Hayes,Sir John Hayes,"Hayes, Sir John",Conservative,South Holland and The Deepings,House of Commons,London,SW1A 0AA,hayesj@parliament.uk
Christopher,Hazzard,Chris Hazzard,"Hazzard, Chris",Sinn Féin,South Down,House of Commons,London,SW1A 0AA,chris.hazzard.mp@parliament.uk
Oliver,Heald,Sir Oliver Heald,"Heald, Sir Oliver",Conservative,North East Hertfordshire,House of Commons,London,SW1A 0AA,Oliver.heald.mp@parliament.uk
John,Healey,John Healey,"Healey, John",Labour,Wentworth and Dearne,House of Commons,London,SW1A 0AA,john.healey.mp@parliament.uk
James,Heappey,James Heappey,"Heappey, James",Conservative,Wells,House of Commons,London,SW1A 0AA,james.heappey.mp@parliament.uk
Christopher,Heaton-Harris,Chris Heaton-Harris,"Heaton-Harris, Chris",Conservative,Daventry,House of Commons,London,SW1A 0AA,chris.heatonharris.mp@parliament.uk
Gordon,Henderson,Gordon Henderson,"Henderson, Gordon",Conservative,Sittingbourne and Sheppey,House of Commons,London,SW1A 0AA,gordon.henderson.mp@parliament.uk
Mark,Hendrick,Sir Mark Hendrick,"Hendrick, Sir Mark",Labour,Preston,House of Commons,London,SW1A 0AA,mark.hendrick.mp@parliament.uk
Andrew,Hendry,Drew Hendry,"Hendry, Drew",Scottish National Party,"Inverness, Nairn, Badenoch and Strathspey",House of Commons,London,SW1A 0AA,drew.hendry.mp@parliament.uk
Darren,Henry,Darren Henry,"Henry, Darren",Conservative,Broxtowe,House of Commons,London,SW1A 0AA,darren.henry.mp@parliament.uk
Antony,Higginbotham,Antony Higginbotham,"Higginbotham, Antony",Conservative,Burnley,House of Commons,London,SW1A 0AA,antony.higginbotham.mp@parliament.uk
Michael,Hill,Mike Hill,"Hill, Mike",Labour,Hartlepool,House of Commons,London,SW1A 0AA,mike.hill.mp@parliament.uk
Margaret,Hillier,Meg Hillier,"Hillier, Meg",Labour,Hackney South and Shoreditch,House of Commons,London,SW1A 0AA,meghilliermp@parliament.uk
Damian,Hinds,Damian Hinds,"Hinds, Damian",Conservative,East Hampshire,House of Commons,London,SW1A 0AA,damian.hinds.mp@parliament.uk
Simon,Hoare,Simon Hoare,"Hoare, Simon",Conservative,North Dorset,House of Commons,London,SW1A 0AA,simon.hoare.mp@parliament.uk
Wera,Hobhouse,Wera Hobhouse,"Hobhouse, Wera",Liberal Democrat,Bath,House of Commons,London,SW1A 0AA,wera.hobhouse.mp@parliament.uk
Margaret,Hodge,Dame Margaret Hodge,"Hodge, Dame Margaret",Labour,Barking,House of Commons,London,SW1A 0AA,hodgem@parliament.uk
Sharon,Hodgson,Mrs Sharon Hodgson,"Hodgson, Mrs Sharon",Labour,Washington and Sunderland West,House of Commons,London,SW1A 0AA,sharon.hodgson.mp@parliament.uk
Richard,Holden,Mr Richard Holden,"Holden, Mr Richard",Conservative,North West Durham,House of Commons,London,SW1A 0AA,richard.holden.mp@parliament.uk
Catherine,Hollern,Kate Hollern,"Hollern, Kate",Labour,Blackburn,House of Commons,London,SW1A 0AA,kate.hollern.mp@parliament.uk
Kevin,Hollinrake,Kevin Hollinrake,"Hollinrake, Kevin",Conservative,Thirsk and Malton,House of Commons,London,SW1A 0AA,kevin.hollinrake.mp@parliament.uk
Philip,Hollobone,Mr Philip Hollobone,"Hollobone, Mr Philip",Conservative,Kettering,House of Commons,London,SW1A 0AA,philip.hollobone.mp@parliament.uk
Adam,Holloway,Adam Holloway,"Holloway, Adam",Conservative,Gravesham,House of Commons,London,SW1A 0AA,hollowaya@parliament.uk
Paul,Holmes,Paul Holmes,"Holmes, Paul",Conservative,Eastleigh,House of Commons,London,SW1A 0AA,paul.holmes.mp@parliament.uk
Rachel,Hopkins,Rachel Hopkins,"Hopkins, Rachel",Labour,Luton South,House of Commons,London,SW1A 0AA,rachel.hopkins.mp@parliament.uk
Stewart,Hosie,Stewart Hosie,"Hosie, Stewart",Scottish National Party,Dundee East,House of Commons,London,SW1A 0AA,hosies@parliament.uk
George,Howarth,Sir George Howarth,"Howarth, Sir George",Labour,Knowsley,House of Commons,London,SW1A 0AA,george.howarth.mp@parliament.uk
John,Howell,John Howell,"Howell, John",Conservative,Henley,House of Commons,London,SW1A 0AA,howelljm@parliament.uk
Paul,Howell,Paul Howell,"Howell, Paul",Conservative,Sedgefield,House of Commons,London,SW1A 0AA,paul.howell.mp@parliament.uk
Lindsay,Hoyle,Sir Lindsay Hoyle,"Hoyle, Sir Lindsay",Speaker,Chorley,House of Commons,London,SW1A 0AA,Lindsay.hoyle.mp@parliament.uk
Nigel,Huddleston,Nigel Huddleston,"Huddleston, Nigel",Conservative,Mid Worcestershire,House of Commons,London,SW1A 0AA,nigel.huddleston.mp@parliament.uk
Neil,Hudson,Dr Neil Hudson,"Hudson, Dr Neil",Conservative,Penrith and The Border,House of Commons,London,SW1A 0AA,neil.hudson.mp@parliament.uk
Edmund,Hughes,Eddie Hughes,"Hughes, Eddie",Conservative,Walsall North,House of Commons,London,SW1A 0AA,eddie.hughes.mp@parliament.uk
Jane,Hunt,Jane Hunt,"Hunt, Jane",Conservative,Loughborough,House of Commons,London,SW1A 0AA,jane.hunt.mp@parliament.uk
Jeremy,Hunt,Jeremy Hunt,"Hunt, Jeremy",Conservative,South West Surrey,House of Commons,London,SW1A 0AA,huntj@parliament.uk
Thomas,Hunt,Tom Hunt,"Hunt, Tom",Conservative,Ipswich,House of Commons,London,SW1A 0AA,tom.hunt.mp@parliament.uk
Rupa,Huq,Dr Rupa Huq,"Huq, Dr Rupa",Labour,Ealing Central and Acton,House of Commons,London,SW1A 0AA,rupa.huq.mp@parliament.uk
Imran,Hussain,Imran Hussain,"Hussain, Imran",Labour,Bradford East,House of Commons,London,SW1A 0AA,imran.hussain.mp@parliament.uk
Alister,Jack,Mr Alister Jack,"Jack, Mr Alister",Conservative,Dumfries and Galloway,House of Commons,London,SW1A 0AA,alister.jack.mp@parliament.uk
Christine,Jardine,Christine Jardine,"Jardine, Christine",Liberal Democrat,Edinburgh West,House of Commons,London,SW1A 0AA,christine.jardine.mp@parliament.uk
Daniel,Jarvis,Dan Jarvis,"Jarvis, Dan",Labour,Barnsley Central,House of Commons,London,SW1A 0AA,dan.jarvis.mp@parliament.uk
Sajid,Javid,Sajid Javid,"Javid, Sajid",Conservative,Bromsgrove,House of Commons,London,SW1A 0AA,sajid.javid.mp@parliament.uk
Ranil,Jayawardena,Mr Ranil Jayawardena,"Jayawardena, Mr Ranil",Conservative,North East Hampshire,House of Commons,London,SW1A 0AA,email@ranil.uk
Bernard,Jenkin,Sir Bernard Jenkin,"Jenkin, Sir Bernard",Conservative,Harwich and North Essex,House of Commons,London,SW1A 0AA,bernard.jenkin.mp@parliament.uk
Mark,Jenkinson,Mark Jenkinson,"Jenkinson, Mark",Conservative,Workington,House of Commons,London,SW1A 0AA,mark.jenkinson.mp@parliament.uk
Andrea,Jenkyns,Andrea Jenkyns,"Jenkyns, Andrea",Conservative,Morley and Outwood,House of Commons,London,SW1A 0AA,andrea.jenkyns.mp@parliament.uk
Robert,Jenrick,Robert Jenrick,"Jenrick, Robert",Conservative,Newark,House of Commons,London,SW1A 0AA,robert.jenrick.mp@parliament.uk
Alexander,Johnson,Boris Johnson,"Johnson, Boris",Conservative,Uxbridge and South Ruislip,House of Commons,London,SW1A 0AA,boris.johnson.mp@parliament.uk
Diana,Johnson,Dame Diana Johnson,"Johnson, Dame Diana",Labour,Kingston upon Hull North,House of Commons,London,SW1A 0AA,johnsond@parliament.uk
Caroline,Johnson,Dr Caroline Johnson,"Johnson, Dr Caroline",Conservative,Sleaford and North Hykeham,House of Commons,London,SW1A 0AA,caroline.johnson.mp@parliament.uk
Gareth,Johnson,Gareth Johnson,"Johnson, Gareth",Conservative,Dartford,House of Commons,London,SW1A 0AA,gareth.johnson.mp@parliament.uk
Kim,Johnson,Kim Johnson,"Johnson, Kim",Labour,"Liverpool, Riverside",House of Commons,London,SW1A 0AA,kim.johnson.mp@parliament.uk
David,Johnston,David Johnston,"Johnston, David",Conservative,Wantage,House of Commons,London,SW1A 0AA,david.johnston.mp@parliament.uk
Andrew,Jones,Andrew Jones,"Jones, Andrew",Conservative,Harrogate and Knaresborough,House of Commons,London,SW1A 0AA,andrew.jones.mp@parliament.uk
Darren,Jones,Darren Jones,"Jones, Darren",Labour,Bristol North West,House of Commons,London,SW1A 0AA,darren.jones.mp@parliament.uk
Fay,Jones,Fay Jones,"Jones, Fay",Conservative,Brecon and Radnorshire,House of Commons,London,SW1A 0AA,fay.jones.mp@parliament.uk
Gerald,Jones,Gerald Jones,"Jones, Gerald",Labour,Merthyr Tydfil and Rhymney,House of Commons,London,SW1A 0AA,gerald.jones.mp@parliament.uk
David,Jones,Mr David Jones,"Jones, Mr David",Conservative,Clwyd West,House of Commons,London,SW1A 0AA,katharine.huggins@parliament.uk
Kevan,Jones,Mr Kevan Jones,"Jones, Mr Kevan",Labour,North Durham,House of Commons,London,SW1A 0AA,kevanjonesmp@parliament.uk
Marcus,Jones,Mr Marcus Jones,"Jones, Mr Marcus",Conservative,Nuneaton,House of Commons,London,SW1A 0AA,marcus.jones.mp@parliament.uk
Ruth,Jones,Ruth Jones,"Jones, Ruth",Labour,Newport West,House of Commons,London,SW1A 0AA,ruth.jones.mp@parliament.uk
Sarah,Jones,Sarah Jones,"Jones, Sarah",Labour,Croydon Central,House of Commons,London,SW1A 0AA,sarah.jones.mp@parliament.uk
Simon,Jupp,Simon Jupp,"Jupp, Simon",Conservative,East Devon,House of Commons,London,SW1A 0AA,simon.jupp.mp@parliament.uk
Michael,Kane,Mike Kane,"Kane, Mike",Labour,Wythenshawe and Sale East,House of Commons,London,SW1A 0AA,mike.kane.mp@parliament.uk
Daniel,Kawczynski,Daniel Kawczynski,"Kawczynski, Daniel",Conservative,Shrewsbury and Atcham,House of Commons,London,SW1A 0AA,daniel.kawczynski.mp@parliament.uk
Alicia,Kearns,Alicia Kearns,"Kearns, Alicia",Conservative,Rutland and Melton,House of Commons,London,SW1A 0AA,alicia.kearns.mp@parliament.uk
Gillian,Keegan,Gillian Keegan,"Keegan, Gillian",Conservative,Chichester,House of Commons,London,SW1A 0AA,gillian.keegan.mp@parliament.uk
Barbara,Keeley,Barbara Keeley,"Keeley, Barbara",Labour,Worsley and Eccles South,House of Commons,London,SW1A 0AA,
Elizabeth,Kendall,Liz Kendall,"Kendall, Liz",Labour,Leicester West,House of Commons,London,SW1A 0AA,liz.kendall.mp@parliament.uk
Mohammed,Khan,Afzal Khan,"Khan, Afzal",Labour,"Manchester, Gorton",House of Commons,London,SW1A 0AA,afzal.khan.mp@parliament.uk
Stephen,Kinnock,Stephen Kinnock,"Kinnock, Stephen",Labour,Aberavon,House of Commons,London,SW1A 0AA,stephen.kinnock.mp@parliament.uk
Julian,Knight,Julian Knight,"Knight, Julian",Conservative,Solihull,House of Commons,London,SW1A 0AA,julian.knight.mp@parliament.uk
Gregory,Knight,Sir Greg Knight,"Knight, Sir Greg",Conservative,East Yorkshire,House of Commons,London,SW1A 0AA,sothcottt@parliament.uk
Daniel,Kruger,Danny Kruger,"Kruger, Danny",Conservative,Devizes,House of Commons,London,SW1A 0AA,
Kwasi,Kwarteng,Kwasi Kwarteng,"Kwarteng, Kwasi",Conservative,Spelthorne,House of Commons,London,SW1A 0AA,kwasi.kwarteng.mp@parliament.uk
Peter,Kyle,Peter Kyle,"Kyle, Peter",Labour,Hove,House of Commons,London,SW1A 0AA,peter.kyle.mp@parliament.uk
Eleanor,Laing,Dame Eleanor Laing,"Laing, Dame Eleanor",Conservative,Epping Forest,House of Commons,London,SW1A 0AA,eleanor.laing.mp@parliament.uk
Ben,Lake,Ben Lake,"Lake, Ben",Plaid Cymru,Ceredigion,House of Commons,London,SW1A 0AA,ben.lake.mp@parliament.uk
David,Lammy,Mr David Lammy,"Lammy, Mr David",Labour,Tottenham,House of Commons,London,SW1A 0AA,lammyd@parliament.uk
John,Lamont,John Lamont,"Lamont, John",Conservative,"Berwickshire, Roxburgh and Selkirk",House of Commons,London,SW1A 0AA,john.lamont.mp@parliament.uk
Robert,Largan,Robert Largan,"Largan, Robert",Conservative,High Peak,House of Commons,London,SW1A 0AA,
Pauline,Latham,Mrs Pauline Latham,"Latham, Mrs Pauline",Conservative,Mid Derbyshire,House of Commons,London,SW1A 0AA,pauline.latham.mp@parliament.uk
Ian,Lavery,Ian Lavery,"Lavery, Ian",Labour,Wansbeck,House of Commons,London,SW1A 0AA,ian.lavery.mp@parliament.uk
